iter	RMSE
0	22301.17352
1	19853.74991
2	17959.40368
3	16481.45311
4	15366.18871
5	14512.21306
6	13802.40836
7	13287.88359
8	12870.66186
9	12536.22339
10	12262.35306
11	11960.99095
12	11799.98667
13	11622.73002
14	11407.32942
15	11279.0416
16	11151.30748
17	11045.11398
18	10929.96696
19	10876.22408
20	10779.12937
21	10725.90612
22	10656.77918
23	10407.93558
24	10367.03258
25	10243.08951
26	10177.97115
27	10150.52298
28	10085.07031
29	9936.045467
30	9881.135533
31	9714.02339
32	9680.666095
33	9643.78428
34	9541.461321
35	9466.301173
36	9418.012062
37	9316.035886
38	8959.3072
39	8928.210738
40	8894.487952
41	8829.601436
42	8749.792949
43	8711.016186
44	8680.589081
45	8644.88639
46	8400.403919
47	8332.004725
48	8249.744747
49	8202.213471
50	8170.394877
51	8132.771831
52	8078.615108
53	7937.495398
54	7888.604736
55	7854.061861
56	7815.470301
57	7789.718903
58	7662.50619
59	7647.692845
60	7615.100248
61	7597.255337
62	7467.769399
63	7410.646022
64	7400.329636
65	7379.376195
66	7338.672638
67	7288.684179
68	7202.82183
69	7178.682273
70	7156.349978
71	7112.732988
72	7096.109908
73	7082.14109
74	7021.876103
75	7001.955591
76	6976.019439
77	6949.385742
78	6899.873879
79	6844.112895
80	6819.783527
81	6789.98471
82	6756.304172
83	6743.707272
84	6701.317772
85	6682.092549
86	6665.30931
87	6642.313597
88	6633.316649
89	6616.397213
90	6579.300854
91	6558.861132
92	6540.217496
93	6503.56844
94	6481.106497
95	6471.869495
96	6463.24304
97	6446.196875
98	6423.368017
99	6405.027591
100	6393.029855
101	6361.240157
102	6351.761362
103	6340.14314
104	6326.353109
105	6307.647694
106	6301.081604
107	6278.753845
108	6260.741921
109	6246.162443
110	6232.258035
111	6220.198852
112	6208.286219
113	6196.888004
114	6178.685335
115	6141.191297
116	6067.102917
117	6044.913359
118	6028.86813
119	6022.022244
120	6008.696621
121	5968.275259
122	5960.796301
123	5947.464157
124	5908.565129
125	5881.751639
126	5858.307112
127	5847.334924
128	5834.242987
129	5824.106837
130	5804.633571
131	5795.731245
132	5776.924794
133	5772.310636
134	5753.833881
135	5748.10994
136	5718.470355
137	5707.600277
138	5688.733605
139	5677.32291
140	5648.815094
141	5634.002221
142	5548.079517
143	5537.212896
144	5529.337529
145	5501.725532
146	5493.392433
147	5489.019496
148	5476.555121
149	5458.107423
150	5453.176461
151	5445.197903
152	5431.666966
153	5423.570188
154	5409.513849
155	5395.739265
156	5385.803531
157	5367.843483
158	5358.163003
159	5344.278345
160	5339.053667
161	5317.828559
162	5291.297368
163	5282.17013
164	5265.357739
165	5256.635248
166	5247.994129
167	5186.060045
168	5183.413258
169	5177.542234
170	5165.407494
171	5151.88639
172	5137.333983
173	5131.074785
174	5125.66679
175	5118.140731
176	5099.538948
177	5094.687487
178	5084.977499
179	5064.10575
180	5055.805255
181	5045.56895
182	5037.428445
183	5032.132071
184	5020.45134
185	4989.215999
186	4979.235135
187	4964.427921
188	4957.548346
189	4949.572458
190	4943.165048
191	4927.807277
192	4916.678182
193	4907.342589
194	4896.759104
195	4884.640396
196	4880.033129
197	4838.195967
198	4833.993006
199	4824.499035
200	4820.632082
201	4802.457178
202	4787.693886
203	4780.022859
204	4767.978192
205	4758.207808
206	4752.372932
207	4750.01787
208	4744.178001
209	4737.936656
210	4731.671797
211	4728.014717
212	4725.055244
213	4719.873376
214	4713.462898
215	4707.392709
216	4703.045689
217	4695.606947
218	4689.229564
219	4675.875549
220	4671.923032
221	4663.137048
222	4656.186732
223	4653.05479
224	4647.605084
225	4637.632932
226	4634.402526
227	4626.691307
228	4614.405317
229	4610.297861
230	4600.479399
231	4588.048637
232	4579.50798
233	4567.669644
234	4560.964965
235	4533.072833
236	4526.590677
237	4518.216053
238	4509.703905
239	4506.732827
240	4501.648913
241	4497.248493
242	4493.578217
243	4486.182096
244	4475.013326
245	4459.269313
246	4454.148665
247	4448.946615
248	4447.763218
249	4443.316947
250	4437.295918
251	4432.319651
252	4428.596432
253	4421.667735
254	4410.630943
255	4403.397847
256	4396.358974
257	4386.619757
258	4382.52431
259	4372.384214
260	4368.123942
261	4365.640175
262	4361.083228
263	4355.29319
264	4348.116516
265	4341.087479
266	4335.724608
267	4296.421532
268	4290.390477
269	4286.646439
270	4282.635946
271	4278.644563
272	4274.843645
273	4268.606903
274	4264.407911
275	4259.876741
276	4257.092594
277	4250.159525
278	4243.230792
279	4238.025754
280	4234.536801
281	4231.348837
282	4226.057949
283	4220.704377
284	4213.136412
285	4209.749781
286	4205.080204
287	4202.810041
288	4182.361612
289	4173.570052
290	4168.166166
291	4163.692808
292	4159.123865
293	4140.170197
294	4131.625233
295	4123.00116
296	4117.583824
297	4104.362277
298	4102.054743
299	4096.97998
300	4092.671039
301	4088.769416
302	4085.519793
303	4077.902264
304	4072.057092
305	4069.905492
306	4065.953392
307	4061.541802
308	4057.827562
309	4044.358728
310	4039.475644
