iter	Passed	Remaining
0	2	995
1	4	995
2	6	982
3	8	944
4	9	904
5	11	905
6	13	894
7	15	899
8	17	898
9	19	890
10	22	908
11	24	903
12	25	897
13	27	891
14	29	890
15	31	887
16	33	882
17	35	873
18	37	876
19	39	878
20	41	873
21	43	871
22	45	869
23	47	868
24	49	863
25	51	859
26	53	854
27	54	852
28	57	852
29	59	850
30	60	842
31	62	840
32	65	856
33	67	854
34	69	852
35	71	849
36	73	845
37	75	840
38	77	838
39	79	836
40	81	836
41	83	832
42	84	827
43	86	825
44	88	823
45	90	820
46	92	818
47	94	813
48	95	808
49	97	806
50	99	803
51	101	801
52	103	800
53	105	796
54	107	793
55	109	791
56	110	787
57	112	785
58	114	783
59	116	781
60	118	778
61	120	774
62	121	771
63	123	769
64	125	769
65	127	767
66	129	766
67	132	765
68	133	763
69	135	760
70	137	758
71	139	755
72	141	752
73	143	749
74	145	751
75	147	749
76	149	746
77	150	743
78	152	739
79	154	737
80	156	734
81	158	734
82	160	731
83	162	730
84	164	727
85	165	725
86	167	722
87	169	721
88	171	719
89	173	716
90	175	714
91	176	711
92	178	708
93	180	706
94	182	703
95	183	701
96	185	698
97	187	696
98	189	694
99	191	692
100	193	691
101	195	690
102	197	688
103	199	686
104	201	684
105	203	683
106	205	681
107	207	679
108	208	676
109	210	674
110	212	672
111	214	670
112	216	667
113	217	664
114	219	662
115	221	660
116	223	657
117	224	655
118	226	653
119	228	650
120	229	647
121	231	646
122	233	643
123	235	641
124	237	638
125	238	636
126	240	634
127	242	632
128	244	630
129	246	628
130	247	625
131	249	623
132	251	620
133	252	618
134	254	616
135	256	614
136	258	612
137	260	610
138	261	608
139	263	607
140	265	604
141	267	602
142	269	600
143	270	598
144	272	595
145	274	593
146	276	591
147	277	589
148	279	587
149	281	586
150	283	584
151	285	582
152	287	580
153	289	578
154	290	576
155	292	573
156	294	572
157	296	571
158	298	569
159	300	567
160	302	565
161	304	563
162	306	561
163	307	559
164	309	557
165	311	555
166	313	553
167	314	551
168	316	548
169	318	547
170	320	545
171	323	544
172	324	542
173	326	540
174	329	539
175	330	537
176	333	536
177	334	534
178	336	532
179	338	530
180	340	528
181	342	526
182	343	524
183	346	522
184	347	520
185	349	518
186	351	516
187	353	514
188	355	512
189	356	510
190	359	509
191	360	507
192	362	505
193	364	503
194	366	501
195	368	500
196	371	500
197	374	498
198	377	498
199	380	498
200	382	496
201	384	494
202	386	492
203	388	491
204	390	489
205	392	487
206	393	485
207	395	483
208	397	481
209	399	479
210	401	477
211	402	475
212	404	473
213	406	470
214	408	468
215	409	466
216	411	464
217	413	462
218	415	460
219	416	458
220	418	456
221	420	454
222	422	452
223	423	450
224	425	448
225	427	446
226	430	445
227	431	443
228	433	441
229	435	439
230	437	437
231	439	435
232	440	433
233	442	431
234	444	429
235	446	427
236	447	425
237	449	423
238	451	421
239	453	419
240	455	417
241	457	415
242	458	413
243	460	411
244	462	409
245	464	407
246	466	405
247	467	403
248	469	401
249	471	399
250	473	397
251	474	395
252	476	393
253	478	391
254	481	390
255	482	388
256	485	387
257	487	385
258	489	383
259	491	381
260	493	379
261	495	377
262	496	375
263	498	373
264	500	372
265	502	370
266	504	368
267	506	366
268	508	364
269	510	362
270	511	360
271	513	358
272	515	357
273	517	355
274	520	353
275	522	351
276	523	349
277	525	347
278	527	346
279	529	344
280	531	342
281	533	340
282	534	338
283	536	336
284	538	334
285	540	332
286	542	330
287	544	328
288	545	326
289	547	325
290	549	323
291	551	321
292	553	319
293	555	317
294	557	315
295	559	313
296	560	311
297	562	309
298	564	307
299	567	306
300	569	304
301	570	302
302	572	300
303	575	298
304	576	296
305	578	294
306	580	292
307	581	290
308	583	289
309	585	287
310	587	285
311	588	283
312	590	281
313	593	279
314	595	277
315	596	275
316	598	273
317	600	272
318	602	270
319	604	268
320	606	266
321	607	264
322	609	262
323	611	260
324	613	258
325	615	256
326	617	254
327	618	252
328	620	250
329	621	248
330	623	246
331	625	244
332	627	243
333	629	241
334	630	239
335	632	237
336	634	235
337	636	233
338	637	231
339	639	229
340	641	227
341	643	225
342	644	223
343	646	221
344	648	219
345	650	217
346	651	216
347	653	214
348	655	212
349	657	210
350	659	208
351	661	206
352	663	204
353	665	202
354	667	201
355	669	199
356	670	197
357	672	195
358	674	193
359	676	191
360	677	189
361	679	187
362	681	185
363	683	183
364	684	182
365	686	180
366	688	178
367	690	176
368	692	174
369	694	172
370	695	170
371	697	168
372	699	166
373	701	165
374	703	163
375	704	161
376	706	159
377	708	157
378	709	155
379	711	153
380	713	151
381	716	150
382	718	148
383	720	146
384	723	144
385	724	142
386	726	140
387	728	138
388	730	137
389	732	135
390	733	133
391	735	131
392	736	129
393	738	127
394	740	125
395	742	123
396	744	121
397	745	119
398	747	118
399	749	116
400	751	114
401	753	112
402	754	110
403	756	108
404	759	106
405	761	105
406	763	103
407	765	101
408	766	99
409	768	97
410	770	95
411	772	93
412	774	91
413	776	89
414	777	88
415	779	86
416	781	84
417	783	82
418	785	80
419	787	78
420	789	76
421	791	75
422	793	73
423	795	71
424	797	69
425	798	67
426	800	65
427	802	63
428	804	61
429	805	59
430	807	58
431	809	56
432	811	54
433	813	52
434	815	50
435	817	48
436	818	46
437	820	44
438	822	43
439	824	41
440	826	39
441	828	37
442	830	35
443	831	33
444	833	31
445	835	29
446	837	28
447	838	26
448	840	24
449	842	22
450	844	20
451	845	18
452	847	16
453	850	14
454	852	13
455	854	11
456	856	9
457	858	7
458	860	5
459	862	3
460	864	1
461	865	0
