V1,V5,V6,V8,V14,V15,V17,V18,V19,V20,V21,V22,Class
224.0,6.0,9.0,2,0,0,2,1,1,32.0,28.0,19,0
242.0,3.0,9.0,2,0,0,1,1,0,67.0,177.0,19,0
239.0,2.0,6.0,2,1,0,0,0,0,3.0,24.0,19,0
241.0,4.0,11.0,2,2,0,0,0,0,3.0,2.0,19,0
110.0,7.0,12.0,2,2,0,2,1,1,366.0,118.0,19,0
398.0,3.0,18.0,2,2,0,0,1,1,195.0,48.0,19,0
400.0,6.0,8.0,2,2,0,2,1,0,228.0,32.0,19,0
76.0,9.0,10.0,2,2,0,2,0,0,352.0,93.0,19,0
259.0,8.0,9.0,2,0,0,2,0,0,41.0,109.0,19,0
84.0,9.0,38.0,2,0,0,2,1,1,364.0,208.0,19,0
238.0,2.0,5.0,2,2,0,1,1,1,293.0,200.0,19,0
253.0,0.0,10.0,2,0,0,0,1,0,3.0,37.0,19,0
109.0,13.0,68.0,2,2,0,1,1,0,378.0,175.0,19,0
219.0,10.0,13.0,2,0,0,0,1,1,98.0,97.0,19,0
239.0,2.0,10.0,2,1,0,1,1,1,3.0,260.0,19,0
256.0,7.0,9.0,2,0,0,1,0,0,3.0,63.0,19,0
76.0,3.0,30.0,2,2,0,2,1,0,353.0,167.0,19,0
121.0,5.0,13.0,2,0,0,2,0,0,315.0,387.0,19,0
244.0,2.0,34.0,2,0,0,0,1,1,41.0,67.0,19,0
238.0,1.0,26.0,2,2,0,2,1,0,295.0,52.0,19,0
205.0,7.0,30.0,2,2,0,1,0,0,44.0,356.0,19,0
252.0,0.0,4.0,2,0,0,2,0,0,20.0,8.0,19,0
109.0,40.0,47.0,2,2,0,2,1,1,357.0,205.0,19,0
92.0,16.0,24.0,2,2,0,0,0,0,349.0,12.0,19,0
107.0,6.0,7.0,2,2,0,2,0,0,338.0,26.0,19,0
243.0,0.0,11.0,2,2,0,1,0,0,10.0,211.0,19,0
91.0,13.0,14.0,2,0,0,1,0,0,370.0,3.0,19,0
63.0,2.0,41.0,2,0,0,2,1,1,393.0,9.0,19,0
303.0,2.0,9.0,2,2,0,0,1,1,5.0,49.0,19,0
218.0,7.0,37.0,2,0,0,2,1,1,298.0,302.0,12,0
253.0,0.0,6.0,2,0,0,0,1,1,4.0,5.0,19,0
294.0,1.0,39.0,2,0,0,2,1,1,273.0,208.0,19,0
205.0,1.0,33.0,2,2,0,2,0,0,17.0,9.0,19,0
315.0,6.0,11.0,2,0,0,2,1,0,173.0,10.0,19,0
296.0,6.0,12.0,2,0,0,2,1,0,277.0,10.0,19,0
236.0,0.0,11.0,2,0,0,0,1,0,1.0,72.0,19,0
236.0,3.0,7.0,2,0,0,2,0,0,1.0,32.0,19,0
204.0,2.0,14.0,2,2,0,0,1,1,1.0,63.0,19,0
246.0,3.0,6.0,2,2,0,0,1,1,18.0,95.0,19,0
244.0,6.0,12.0,2,2,0,2,0,0,1.0,32.0,19,0
252.0,6.0,11.0,2,2,0,1,1,0,215.0,334.0,19,0
345.0,8.0,38.0,2,0,0,2,1,0,225.0,285.0,19,0
253.0,0.0,5.0,2,0,0,0,0,0,5.0,562.0,19,0
211.0,3.0,4.0,2,0,0,2,1,0,30.0,281.0,19,0
262.0,3.0,9.0,2,0,0,1,0,0,18.0,38.0,19,0
269.0,7.0,21.0,2,2,0,2,1,0,234.0,41.0,19,0
248.0,6.0,10.0,2,2,0,2,0,0,178.0,26.0,19,0
206.0,3.0,5.0,2,2,0,0,1,1,28.0,13.0,19,0
295.0,4.0,14.0,2,0,0,2,0,0,11.0,2.0,19,0
95.0,14.0,41.0,2,0,0,0,1,1,377.0,23.0,19,0
237.0,7.0,32.0,2,0,0,2,0,0,11.0,106.0,19,0
263.0,11.0,15.0,2,2,0,1,1,0,225.0,176.0,19,0
288.0,15.0,16.0,2,2,0,1,0,0,124.0,77.0,19,0
76.0,1.0,25.0,2,2,0,0,1,1,402.0,20.0,19,0
57.0,5.0,6.0,2,0,0,0,0,0,402.0,16.0,19,0
238.0,4.0,6.0,2,2,0,1,1,0,291.0,365.0,19,0
101.0,13.0,25.0,2,0,0,2,0,0,381.0,23.0,19,0
76.0,3.0,7.0,2,2,0,0,0,0,351.0,7.0,19,0
260.0,0.0,8.0,2,0,0,2,1,0,74.0,89.0,19,0
874.0,20.0,25.0,0,1,0,2,1,1,71.0,162.0,19,0
201.0,2.0,9.0,2,0,0,0,0,0,44.0,89.0,19,0
302.0,7.0,12.0,2,2,0,2,1,1,234.0,31.0,19,0
253.0,1.0,8.0,2,0,0,1,1,1,4.0,180.0,19,0
335.0,9.0,12.0,2,2,0,2,1,1,240.0,67.0,19,0
168.0,14.0,43.0,2,2,0,2,1,0,398.0,11.0,19,0
305.0,3.0,4.0,2,0,0,2,1,0,116.0,27.0,19,0
91.0,3.0,6.0,2,0,0,0,1,0,349.0,65.0,19,0
63.0,6.0,7.0,2,0,0,1,1,1,399.0,535.0,19,0
247.0,0.0,16.0,2,2,0,2,0,0,133.0,30.0,19,0
257.0,1.0,12.0,2,2,0,2,0,0,1.0,5.0,19,0
268.0,8.0,17.0,2,2,0,2,0,0,80.0,25.0,19,0
234.0,5.0,7.0,2,0,0,2,0,0,110.0,303.0,19,0
97.0,7.0,12.0,2,2,0,2,1,1,388.0,29.0,19,0
242.0,8.0,11.0,2,2,0,2,1,1,1.0,94.0,19,0
295.0,6.0,13.0,2,0,0,0,1,0,13.0,40.0,19,0
313.0,3.0,5.0,2,0,0,2,1,1,83.0,295.0,19,0
351.0,7.0,13.0,2,0,0,1,0,0,213.0,282.0,19,0
295.0,2.0,19.0,2,2,0,0,0,0,222.0,10.0,19,0
63.0,10.0,13.0,2,0,0,2,0,0,395.0,131.0,19,0
239.0,4.0,9.0,2,2,0,1,0,0,19.0,233.0,19,0
112.0,6.0,23.0,2,0,0,2,1,1,389.0,161.0,19,0
197.0,11.0,27.0,2,0,0,2,0,0,124.0,27.0,19,0
76.0,12.0,13.0,2,2,0,1,1,0,325.0,515.0,19,0
94.0,10.0,42.0,2,2,0,2,1,1,385.0,213.0,19,0
315.0,0.0,4.0,2,0,0,0,1,0,178.0,3.0,19,0
98.0,7.0,11.0,2,0,0,2,0,0,400.0,7.0,19,0
303.0,9.0,12.0,2,0,0,2,1,1,135.0,357.0,19,0
246.0,3.0,12.0,2,2,0,1,0,0,1.0,290.0,19,0
239.0,4.0,11.0,2,1,0,2,1,0,3.0,51.0,19,0
72.0,4.0,13.0,2,0,0,0,0,0,330.0,5.0,19,0
248.0,1.0,9.0,2,2,0,2,0,0,24.0,29.0,19,0
265.0,3.0,4.0,2,0,0,1,0,0,24.0,223.0,19,0
96.0,1.0,25.0,2,2,0,2,1,1,387.0,162.0,19,0
83.0,5.0,10.0,2,0,0,2,0,0,374.0,23.0,19,0
91.0,67.0,71.0,2,0,0,1,1,0,395.0,170.0,19,0
257.0,4.0,12.0,2,2,0,2,0,0,3.0,382.0,19,0
267.0,5.0,8.0,2,0,0,0,1,0,8.0,3.0,19,0
121.0,1.0,15.0,2,0,0,2,0,0,313.0,44.0,19,0
95.0,6.0,15.0,2,2,0,1,0,0,392.0,3.0,19,0
261.0,6.0,9.0,2,0,0,0,1,1,14.0,22.0,19,0
89.0,20.0,31.0,2,2,0,1,1,0,370.0,171.0,19,0
101.0,13.0,17.0,2,2,0,2,0,0,329.0,206.0,19,0
257.0,3.0,6.0,2,0,0,2,0,0,99.0,1.0,19,0
63.0,0.0,6.0,2,0,0,1,1,0,402.0,375.0,19,0
351.0,1.0,21.0,2,0,0,2,1,1,214.0,38.0,19,0
242.0,2.0,24.0,2,2,0,1,1,0,11.0,517.0,19,0
180.0,3.0,10.0,2,0,0,1,1,0,240.0,171.0,19,0
238.0,1.0,5.0,2,2,0,2,0,0,292.0,12.0,19,0
398.0,1.0,9.0,2,2,0,1,1,1,190.0,293.0,19,0
180.0,8.0,13.0,2,0,0,2,1,1,237.0,20.0,19,0
86.0,8.0,13.0,2,2,0,2,0,0,390.0,210.0,19,0
218.0,4.0,9.0,2,0,0,1,1,0,11.0,311.0,19,0
272.0,4.0,8.0,2,0,0,2,0,0,32.0,9.0,19,0
75.0,43.0,70.0,2,0,0,1,1,0,402.0,176.0,19,0
237.0,9.0,30.0,2,2,0,1,1,1,33.0,333.0,19,0
167.0,7.0,8.0,2,0,0,2,1,1,65.0,372.0,19,0
228.0,2.0,4.0,2,2,0,2,1,1,122.0,373.0,19,0
355.0,3.0,21.0,2,2,0,0,0,0,284.0,4.0,19,0
231.0,1.0,29.0,2,2,0,2,1,1,78.0,93.0,19,0
148.0,6.0,22.0,2,2,0,2,0,0,307.0,23.0,19,0
276.0,36.0,39.0,2,2,0,2,1,0,238.0,284.0,19,0
303.0,3.0,5.0,2,2,0,2,1,1,5.0,2.0,19,0
92.0,5.0,15.0,2,0,0,2,1,1,381.0,4.0,19,0
253.0,0.0,11.0,2,0,0,2,0,0,6.0,32.0,19,0
243.0,0.0,11.0,2,2,0,2,0,0,10.0,46.0,19,0
253.0,0.0,20.0,2,0,0,2,1,1,3.0,48.0,19,0
136.0,5.0,11.0,2,2,0,1,0,0,390.0,48.0,19,0
251.0,5.0,8.0,2,2,0,1,1,0,73.0,69.0,19,0
217.0,3.0,24.0,2,2,0,2,1,0,37.0,28.0,19,0
107.0,43.0,60.0,2,0,0,1,1,0,398.0,175.0,19,0
228.0,1.0,22.0,2,0,0,0,0,0,18.0,1.0,15,0
293.0,3.0,5.0,2,2,0,0,0,0,177.0,8.0,19,0
192.0,12.0,16.0,2,0,0,1,0,0,117.0,555.0,13,0
217.0,8.0,11.0,2,2,0,1,0,0,38.0,86.0,19,0
320.0,0.0,4.0,2,2,0,2,0,0,126.0,25.0,19,0
351.0,7.0,13.0,2,0,0,2,0,0,214.0,10.0,19,0
304.0,0.0,9.0,2,2,0,0,0,0,1.0,1.0,19,0
321.0,1.0,16.0,2,2,0,0,0,0,105.0,62.0,19,0
194.0,0.0,9.0,2,2,0,1,0,0,42.0,48.0,19,0
151.0,22.0,35.0,2,0,0,2,1,1,265.0,211.0,19,0
130.0,2.0,25.0,2,2,0,2,1,0,402.0,12.0,19,0
76.0,32.0,64.0,2,2,0,1,1,0,393.0,170.0,19,0
76.0,5.0,6.0,2,2,0,0,1,0,402.0,303.0,19,0
284.0,6.0,10.0,2,2,0,2,1,0,172.0,211.0,19,0
713.0,8.0,25.0,0,1,0,2,1,1,95.0,169.0,19,0
95.0,3.0,23.0,2,2,0,2,1,1,403.0,150.0,19,0
116.0,0.0,12.0,2,2,0,1,0,0,343.0,86.0,19,0
178.0,8.0,9.0,2,2,0,2,0,0,16.0,30.0,19,0
212.0,13.0,32.0,2,0,0,2,0,0,27.0,106.0,19,0
277.0,1.0,27.0,2,0,0,2,1,1,300.0,303.0,15,0
293.0,6.0,12.0,2,2,0,1,0,0,12.0,328.0,19,0
904.0,0.0,24.0,0,1,0,1,1,0,11.0,240.0,19,0
250.0,3.0,10.0,2,2,0,1,1,1,45.0,248.0,19,0
84.0,22.0,24.0,2,1,0,2,0,0,338.0,92.0,19,0
95.0,3.0,11.0,2,2,0,1,1,0,402.0,111.0,19,0
240.0,6.0,15.0,2,2,0,0,1,0,20.0,57.0,19,0
288.0,4.0,9.0,2,0,0,1,1,0,29.0,333.0,19,0
322.0,1.0,8.0,2,2,0,1,0,0,62.0,83.0,19,0
205.0,14.0,31.0,2,0,0,1,1,0,15.0,299.0,19,0
74.0,3.0,4.0,2,0,0,2,1,1,332.0,169.0,19,0
222.0,0.0,9.0,2,0,0,0,1,1,2.0,22.0,19,0
217.0,11.0,15.0,2,2,0,1,1,0,40.0,175.0,19,0
240.0,8.0,15.0,2,0,0,1,0,0,30.0,556.0,19,0
116.0,3.0,7.0,2,2,0,2,0,0,346.0,27.0,19,0
303.0,6.0,12.0,2,2,0,2,0,0,5.0,5.0,19,0
266.0,1.0,5.0,2,2,0,2,1,1,92.0,26.0,19,0
89.0,9.0,21.0,2,2,0,2,1,1,349.0,112.0,19,0
234.0,6.0,8.0,2,2,0,2,1,0,37.0,51.0,19,0
202.0,0.0,9.0,2,2,0,2,1,0,18.0,41.0,19,0
253.0,0.0,10.0,2,0,0,2,1,0,5.0,115.0,19,0
192.0,1.0,11.0,2,0,0,2,1,1,40.0,16.0,19,0
188.0,5.0,9.0,2,2,0,0,0,0,37.0,1.0,19,0
63.0,5.0,6.0,2,0,0,2,1,0,401.0,70.0,19,0
241.0,0.0,62.0,2,2,0,1,1,0,1.0,176.0,19,0
831.0,8.0,23.0,0,1,0,2,1,1,90.0,161.0,19,0
80.0,7.0,12.0,2,0,0,1,1,0,402.0,190.0,19,0
502.0,2.0,8.0,2,2,0,2,0,0,126.0,28.0,19,0
228.0,13.0,20.0,2,0,0,1,0,0,17.0,290.0,19,0
94.0,3.0,5.0,2,2,0,2,1,0,331.0,53.0,19,0
236.0,2.0,23.0,2,0,0,2,1,1,1.0,150.0,19,0
283.0,12.0,28.0,2,2,0,2,1,0,149.0,33.0,19,0
219.0,2.0,9.0,2,0,0,1,1,0,26.0,178.0,19,0
243.0,0.0,10.0,2,2,0,2,1,1,3.0,43.0,19,0
98.0,20.0,71.0,2,0,0,1,1,0,372.0,173.0,19,0
253.0,1.0,8.0,2,0,0,1,1,0,4.0,238.0,19,0
285.0,8.0,14.0,2,0,0,1,0,0,167.0,313.0,19,0
87.0,11.0,14.0,2,1,0,2,1,1,340.0,68.0,19,0
109.0,11.0,22.0,2,0,0,2,1,1,378.0,164.0,19,0
77.0,27.0,34.0,2,2,0,2,0,0,347.0,3.0,19,0
170.0,3.0,4.0,2,2,0,2,1,1,48.0,366.0,19,0
211.0,18.0,29.0,2,0,0,2,1,0,197.0,32.0,19,0
219.0,6.0,8.0,2,2,0,0,0,0,48.0,5.0,19,0
94.0,4.0,68.0,2,0,0,1,1,0,375.0,176.0,19,0
96.0,9.0,12.0,2,2,0,2,0,0,389.0,33.0,19,0
222.0,7.0,17.0,2,2,0,2,1,1,93.0,29.0,19,0
251.0,6.0,17.0,2,0,0,0,0,0,16.0,94.0,19,0
239.0,1.0,9.0,2,2,0,2,1,1,136.0,369.0,19,0
105.0,9.0,11.0,2,0,0,2,1,1,348.0,67.0,19,0
90.0,5.0,7.0,2,0,0,0,1,1,185.0,13.0,9,0
260.0,2.0,4.0,2,0,0,2,1,0,1.0,71.0,19,0
249.0,4.0,31.0,2,2,0,1,0,0,26.0,330.0,19,0
366.0,2.0,15.0,2,2,0,2,1,0,139.0,40.0,19,0
100.0,11.0,41.0,2,2,0,2,1,1,381.0,206.0,19,0
238.0,5.0,12.0,2,2,0,2,0,0,297.0,94.0,19,0
243.0,1.0,20.0,2,2,0,2,0,0,9.0,385.0,19,0
240.0,1.0,4.0,2,0,0,0,1,0,29.0,1.0,19,0
293.0,5.0,12.0,2,2,0,1,0,0,177.0,25.0,19,0
226.0,7.0,21.0,2,2,0,1,0,0,133.0,8.0,19,0
257.0,2.0,10.0,2,2,0,2,1,1,3.0,11.0,19,0
293.0,3.0,11.0,2,2,0,2,0,0,178.0,36.0,19,0
90.0,7.0,10.0,2,0,0,1,1,1,189.0,296.0,19,0
100.0,16.0,38.0,2,0,0,2,1,1,354.0,207.0,19,0
257.0,9.0,32.0,2,2,0,2,1,0,63.0,34.0,19,0
299.0,20.0,22.0,2,0,0,2,1,0,181.0,8.0,19,0
101.0,4.0,11.0,2,2,0,1,0,0,351.0,3.0,19,0
201.0,0.0,9.0,2,0,0,1,0,0,40.0,26.0,19,0
108.0,12.0,25.0,2,0,0,1,0,0,392.0,307.0,19,0
222.0,1.0,15.0,2,2,0,0,1,0,69.0,61.0,19,0
177.0,0.0,5.0,2,2,0,2,0,0,27.0,6.0,19,0
229.0,3.0,9.0,2,0,0,2,1,0,107.0,34.0,19,0
196.0,9.0,30.0,2,0,0,1,1,1,100.0,335.0,9,0
286.0,1.0,9.0,2,0,0,1,1,0,55.0,365.0,19,0
76.0,8.0,22.0,2,2,0,2,1,1,386.0,108.0,19,0
92.0,17.0,46.0,2,2,0,2,1,1,321.0,205.0,19,0
895.0,0.0,6.0,0,1,0,1,1,0,2.0,235.0,19,0
193.0,1.0,16.0,2,2,0,1,1,1,103.0,330.0,19,0
243.0,4.0,12.0,2,2,0,1,1,1,13.0,367.0,19,0
317.0,1.0,8.0,2,0,0,1,1,0,51.0,552.0,19,0
231.0,0.0,4.0,2,2,0,2,1,0,77.0,281.0,19,0
288.0,2.0,4.0,2,2,0,1,1,1,6.0,370.0,19,0
273.0,7.0,10.0,2,0,0,0,1,0,177.0,72.0,19,0
74.0,1.0,12.0,2,0,0,1,0,0,328.0,333.0,19,0
241.0,22.0,23.0,2,2,0,2,0,0,302.0,35.0,19,0
246.0,8.0,10.0,2,2,0,1,1,1,6.0,296.0,19,0
260.0,2.0,12.0,2,2,0,1,0,0,212.0,9.0,19,0
87.0,6.0,39.0,2,2,0,2,1,0,334.0,283.0,19,0
277.0,4.0,6.0,2,2,0,0,1,1,236.0,59.0,19,0
310.0,5.0,8.0,2,0,0,0,1,1,164.0,33.0,19,0
198.0,0.0,18.0,2,0,0,1,0,0,69.0,400.0,19,0
235.0,0.0,5.0,2,2,0,1,0,0,51.0,291.0,19,0
114.0,47.0,61.0,2,0,0,1,1,0,395.0,173.0,19,0
250.0,7.0,29.0,2,0,0,0,0,0,130.0,48.0,19,0
351.0,9.0,20.0,2,0,0,2,0,0,219.0,385.0,19,0
224.0,5.0,17.0,2,2,0,2,1,0,37.0,5.0,8,0
268.0,22.0,42.0,2,0,0,2,1,1,309.0,213.0,19,0
93.0,3.0,12.0,2,0,0,0,0,0,370.0,69.0,19,0
223.0,1.0,13.0,2,2,0,2,1,0,40.0,155.0,19,0
91.0,6.0,7.0,2,0,0,1,1,0,353.0,175.0,19,0
254.0,0.0,28.0,2,0,0,1,1,1,31.0,335.0,9,0
277.0,4.0,8.0,2,2,0,2,1,0,280.0,50.0,19,0
273.0,0.0,8.0,2,0,0,2,0,0,1.0,13.0,19,0
83.0,3.0,41.0,2,0,0,1,0,0,373.0,19.0,19,0
293.0,5.0,13.0,2,2,0,2,0,0,171.0,10.0,19,0
63.0,0.0,5.0,2,0,0,1,1,1,402.0,48.0,19,0
225.0,2.0,38.0,2,0,0,2,1,1,264.0,207.0,19,0
215.0,7.0,8.0,2,2,0,2,1,1,152.0,27.0,19,0
287.0,24.0,38.0,2,0,0,2,1,1,186.0,307.0,19,0
277.0,6.0,8.0,2,0,0,2,1,1,65.0,102.0,19,0
248.0,15.0,19.0,2,0,0,2,1,0,267.0,39.0,19,0
208.0,3.0,11.0,2,2,0,0,1,0,41.0,72.0,19,0
257.0,15.0,41.0,2,0,0,0,1,1,97.0,23.0,19,0
280.0,9.0,38.0,2,2,0,2,1,0,174.0,285.0,19,0
91.0,1.0,8.0,2,0,0,0,1,1,348.0,112.0,19,0
192.0,3.0,11.0,2,0,0,1,1,0,221.0,340.0,19,0
299.0,5.0,11.0,2,0,0,1,0,0,186.0,86.0,19,0
237.0,10.0,12.0,2,2,0,1,1,1,61.0,367.0,19,0
269.0,6.0,17.0,2,2,0,1,0,0,101.0,314.0,19,0
253.0,0.0,10.0,2,0,0,2,1,0,5.0,2.0,19,0
238.0,13.0,20.0,2,0,0,1,1,0,6.0,517.0,19,0
235.0,3.0,9.0,2,2,0,2,0,0,37.0,3.0,8,0
295.0,4.0,10.0,2,2,0,2,1,1,218.0,43.0,19,0
203.0,6.0,7.0,2,2,0,1,1,1,42.0,239.0,19,0
206.0,5.0,9.0,2,2,0,2,1,0,55.0,29.0,19,0
244.0,1.0,9.0,2,0,0,1,1,0,12.0,111.0,19,0
225.0,33.0,44.0,2,2,0,1,0,0,7.0,362.0,19,0
240.0,0.0,4.0,2,2,0,2,1,0,44.0,41.0,19,0
76.0,5.0,6.0,2,2,0,1,0,0,353.0,24.0,19,0
282.0,1.0,6.0,2,0,0,2,1,0,194.0,56.0,19,0
90.0,8.0,12.0,2,0,0,2,1,1,192.0,52.0,19,0
211.0,7.0,8.0,2,1,0,2,0,0,147.0,29.0,19,0
