dataset,feature_set,classifier,accuracy,f1,roc_auc
diamonds_v2,embeddings,logreg,0.978570954687189,0.9785618735384288,0.998628405137658
diamonds_v2,embeddings,mlp,0.9806939560804088,0.980668630829193,0.9992545946506244
diamonds_v2,embeddings,rf,0.9788363298613416,0.978808745427914,0.9989661628619286
diamonds_v2,lgbm_leaf,logreg,0.9926358389172693,0.9926381191249516,0.9996974191638296
diamonds_v2,lgbm_leaf,mlp,0.9927685265043455,0.9927705440070012,0.9998465986117584
diamonds_v2,lgbm_leaf,rf,0.9935646520268028,0.9935653677870824,0.9997566505329768
diamonds_v2,pca10,logreg,0.9515026869236384,0.9515745300723516,0.9940451914450792
diamonds_v2,pca10,mlp,0.9766469846745836,0.976625946441458,0.9988136651512364
diamonds_v2,pca10,rf,0.9603264114642076,0.960345744422202,0.9969845866844206
diamonds_v2,raw,logreg,0.9903801499369734,0.9903839985018424,0.9996482350980628
diamonds_v2,raw,mlp,0.9821535195382473,0.9821518022126128,0.9989459326047988
diamonds_v2,raw,rf,0.9957539972135608,0.9957541777937244,0.999905565424625
telco,embeddings,logreg,0.7697228144989339,0.5462184873949579,0.8076406396405257
telco,embeddings,mlp,0.7569296375266524,0.5604113110539846,0.8048400122171548
telco,embeddings,rf,0.7739872068230277,0.5595567867036011,0.8176486118516755
telco,lgbm_leaf,logreg,0.7796730632551528,0.5776566757493188,0.8406606064057235
telco,lgbm_leaf,mlp,0.7633262260127932,0.5249643366619116,0.7977737341526421
telco,lgbm_leaf,rf,0.8017057569296375,0.5829596412556054,0.8324683829353267
telco,pca10,logreg,0.7903340440653873,0.573082489146165,0.8320180047729732
telco,pca10,mlp,0.7647476901208244,0.5264663805436338,0.7934045483017638
telco,pca10,rf,0.7839374555792467,0.5476190476190477,0.8107324598412805
telco,raw,logreg,0.7874911158493249,0.502495840266223,0.8264503988693955
telco,raw,mlp,0.7789623312011372,0.4376130198915009,0.8239655538357207
telco,raw,rf,0.7938877043354655,0.5552147239263804,0.8195795435132603
