iterations,learning_rate,depth,l2_leaf_reg,score,state,trial_number
312,0.1540359659501924,9,0.6251373574521749,7140.818494554504,COMPLETE,0.0
246,0.0022853255256339,4,3.9676050770529874,15603.449246637416,COMPLETE,1.0
380,0.0425888821029008,4,8.123245085588687,8489.456388933355,COMPLETE,2.0
450,0.0030803400529839,5,0.035498788321965,10672.72087215388,COMPLETE,3.0
291,0.0161242784585626,7,0.074763120622523,7737.896190039025,COMPLETE,4.0
384,0.0020940138873937,6,0.1256277350380703,13356.809001537067,COMPLETE,5.0
337,0.0640786626185101,5,0.3489018845491387,6225.375176281402,COMPLETE,6.0
378,0.0012790390175145,8,0.0324767357062744,16095.220763074462,COMPLETE,7.0
219,0.1525506574511737,10,2.661901888489056,7178.0159640952015,COMPLETE,8.0
291,0.0016778242384077,8,0.209149813290356,16072.33185747497,COMPLETE,9.0
484,0.0421536042662673,6,0.830605073197222,6377.601694523013,COMPLETE,10.0
481,0.0435682034115867,6,0.7451617972708859,6312.9832565619035,COMPLETE,11.0
435,0.0500141978025842,6,0.7118089084225312,6128.4662904593915,COMPLETE,12.0
420,0.0163156312832634,5,0.4221329465508773,7803.093120789812,COMPLETE,13.0
330,0.080291121809262,5,1.604734811391339,6337.847202935921,COMPLETE,14.0
427,0.006243838727697,7,0.3076974779163993,8441.933112607923,COMPLETE,15.0
361,0.0855704002026665,5,0.1067573696379612,6138.136298983368,COMPLETE,16.0
416,0.0216399386520219,6,0.0107693529146572,6853.371224620994,COMPLETE,17.0
453,0.0080412691231769,4,0.0851356941375278,8324.068942716296,COMPLETE,18.0
364,0.0994857820980969,8,1.6379288268615264,6490.324403613541,COMPLETE,19.0
499,0.0258229034363945,7,0.0368768549805825,6536.369195274249,COMPLETE,20.0
342,0.0784809325194895,5,0.1672010194146363,6081.379744553084,COMPLETE,21.0
272,0.1130977281108149,5,0.1634114481041673,6140.487892852843,COMPLETE,22.0
401,0.059286727128609,6,0.0668531554159565,6503.468933908178,COMPLETE,23.0
355,0.1886494916685864,4,0.0153932485357104,5701.157278241463,COMPLETE,24.0
320,0.1805120528130792,4,0.0192111313094632,5765.978422218748,COMPLETE,25.0
331,0.1801685950258966,4,0.010652074373365,5733.395361276167,COMPLETE,26.0
314,0.1759953195514923,4,0.0110050233687576,6461.401150419054,COMPLETE,27.0
261,0.1663523638123235,4,0.0186708505172145,6275.178448305198,COMPLETE,28.0
288,0.1910470231027634,4,0.019406160688888,5800.622431483276,COMPLETE,29.0
