h1,h2,alpha,learning_rate_init
136,124,0.001570297088405539,0.0015751320499779737
94,47,1.493656855461762e-05,0.005399484409787433
180,100,1.1527987128232396e-05,0.008706020878304856
224,52,3.511356313970405e-05,0.00023270677083837802
122,82,0.00019762189340280086,0.0003823475224675188
182,45,7.52374288453485e-05,0.0005404103854647331
152,108,3.972110727381908e-05,0.0010677482709481358
178,36,0.0006647135865318024,0.00021930485556643703
76,124,0.00788671412999049,0.004138040112561018
122,41,0.0011290133559092666,0.0007591104805282694
67,77,0.008102356207766656,0.0026259091274483497
247,122,0.008573555219800369,0.0023834556273255917
79,104,0.0001243599755488782,0.0035598913444921058
153,108,0.0026407385595477832,0.0012123634441485443
94,128,0.00037529556274096845,0.007774050229906327
215,88,5.231043013994914e-05,0.0012890420860926946
155,116,0.003844041400878631,0.0039042854472260214
105,67,0.0037678844323175273,0.004503594928039775
220,116,0.004106194081414188,0.0021757050242100237
66,99,0.009362987081677718,0.005744177525663531
197,94,0.0014079445778757574,0.009643570665331778
200,95,0.0019018569915867274,0.008680399316661733
244,91,0.0006016373113115573,0.006006610177382788
198,115,0.004277144794114532,0.00011011009389244945
169,67,0.0009589539171042819,0.003265233462789345
137,100,0.0026441007362677468,0.006294702191639183
200,83,0.005490466938482433,0.0017904319826816592
233,113,0.00996328867971283,0.009859236073121716
134,71,0.0021990359824863,0.006387255624731291
162,95,0.0013827002929432744,0.0033282829372910908
194,119,0.00035818838057926613,0.004220556374630911
70,109,0.005976878125868091,0.004298753496057442
84,128,0.006084591488841337,0.0054279514728254
86,126,0.0032980793721234993,0.005529021684547027
99,97,0.005268728810501626,0.007101331820947366
103,103,0.005868738470889014,0.007429795582996447
100,121,0.005520606984909396,0.0016117274861050378
113,112,0.009956055660659057,0.002861353241681498
88,55,0.002969708527151918,0.0048437537648972195
66,102,0.0018315414839085826,0.007118814438438081
137,88,1.648241514879091e-05,0.0007308469909820498
83,96,0.0045410301533102436,0.008680399316661733
123,107,0.0007897083057756004,0.005319301949684389
76,83,0.006759617960725382,0.0077831507197947125
113,99,0.0014601920314970508,0.009381836122141052
114,118,0.0024051390623940918,0.002070988919152373
95,124,0.007182125319514841,0.00508209443252588
148,98,0.0036530919038361013,0.0038660076745000126
112,110,0.0005353171310928083,0.0026832582924376236
77,77,0.00019496983905589854,0.00028728382367882436
