n_estimators,max_depth,min_samples_split,min_samples_leaf,score,state,trial_number
225,18,8,3,871.8192714521994,COMPLETE,0.0
163,6,2,4,1158.823888922739,COMPLETE,1.0
288,14,2,4,1056.6187006205462,COMPLETE,2.0
353,7,3,1,1084.8416592429628,COMPLETE,3.0
205,11,5,2,599.1633199647072,COMPLETE,4.0
291,6,4,2,589.3034098671154,COMPLETE,5.0
248,15,3,3,800.5240695164581,COMPLETE,6.0
286,4,7,1,1653.3407360188573,COMPLETE,7.0
138,18,10,4,1250.2423424754813,COMPLETE,8.0
205,5,8,2,1161.036572358696,COMPLETE,9.0
388,9,5,2,581.7666283414701,COMPLETE,10.0
391,9,5,2,578.5129817769246,COMPLETE,11.0
392,9,6,2,747.1370019087213,COMPLETE,12.0
393,9,5,1,809.2502025504555,COMPLETE,13.0
350,11,6,3,787.4741680391027,COMPLETE,14.0
342,9,4,2,422.3842075600554,COMPLETE,15.0
336,13,4,3,770.9643682490671,COMPLETE,16.0
327,8,4,1,870.771284000899,COMPLETE,17.0
361,12,7,2,765.1739128889598,COMPLETE,18.0
316,10,10,3,995.454660613161,COMPLETE,19.0
372,15,3,1,877.4278115514172,COMPLETE,20.0
389,9,5,2,581.7977189099138,COMPLETE,21.0
375,8,5,2,581.787717419528,COMPLETE,22.0
400,11,6,2,764.805531845265,COMPLETE,23.0
326,7,4,2,466.776698781509,COMPLETE,24.0
320,7,4,3,796.7410418042159,COMPLETE,25.0
266,4,3,2,1505.9178241943669,COMPLETE,26.0
302,7,4,1,906.0713925354523,COMPLETE,27.0
341,10,2,2,450.25703253270035,COMPLETE,28.0
339,12,2,3,760.6826814342364,COMPLETE,29.0
