batch_size,virtual_batch_size,n_d,n_a,n_steps,gamma,lambda_sparse,momentum,learning_rate
512,128,8,56,6,1.7080725777960455,1.2087541473056965e-06,0.3882648423431778,0.025959425503112647
256,256,24,40,3,1.2921446485352182,2.9204338471814107e-05,0.18786729384464404,0.02157696745589683
1024,256,8,64,8,1.8083973481164612,1.6536937182824424e-05,0.04809212446248971,0.01453755557616192
1024,256,48,24,6,1.5467102793432796,5.4880470007660465e-06,0.38813800482817784,0.020745667656752512
256,128,8,24,5,1.2713490317738958,0.0020651425578959264,0.14913379741049984,0.0030012301808980462
1024,256,16,8,7,1.7068573438476171,0.0008241925264876454,0.31079543520751884,0.0013359790328445567
1024,128,24,24,7,1.6375574713552132,0.0035387588647792408,0.19416382081316025,0.001596566588617376
512,128,32,8,3,1.0314291856867341,0.00035127047262708476,0.1325988326197674,0.007312171172786401
256,128,24,16,8,1.808120379564417,0.000341676434183297,0.34986963017320993,0.02319608822929361
512,256,8,16,5,1.8180147659224932,0.0027728241828010635,0.012711330907164375,0.007374699809816787
512,512,64,40,3,1.038725199961183,0.00015455082385721093,0.122733111237657,0.005676561447757286
512,512,64,40,3,1.0308964655157786,0.0001469825120707721,0.13424680870445382,0.005882227739076045
512,512,40,48,4,1.0263200994367565,9.357996436654443e-05,0.09478748872885648,0.007557354279044257
512,512,64,32,4,1.2246732564682088,0.009163721630899607,0.27200338888541076,0.003771637061720741
512,512,48,48,3,1.148092057267047,0.0003759825417556633,0.2555207477651966,0.012170668949596066
512,512,56,48,4,1.1714742454564477,7.188958626315234e-05,0.24761138292209997,0.0457452927556662
512,512,48,56,4,1.3476377660759362,4.243667194343952e-05,0.24692964749370608,0.03384059615048191
512,512,48,48,4,1.43609983357228,7.78762417032538e-06,0.2607496982670756,0.048959651583835764
512,512,56,64,5,1.170461278532113,0.0007071495832109403,0.22099523842267269,0.014634051543141926
256,512,56,48,4,1.1697858044095402,7.209365482384909e-05,0.3187107164036958,0.047529129487263726
512,512,40,56,3,1.4090010710703238,0.00026572843969127765,0.30777065239456664,0.014074563778003117
512,512,40,56,3,1.4596484831033927,0.00030862301995605444,0.3041872348651652,0.01280911875171472
512,512,56,48,3,1.3692560926833195,0.0011621040547290533,0.2303056985103952,0.010887773226626905
512,512,40,56,4,1.9566782579656348,0.00016403774894790837,0.2882896336447568,0.03139912476457903
512,512,32,64,3,1.1363268109917584,6.3589860108578e-05,0.35589423320428715,0.010917125487848975
512,512,48,32,4,1.144574538734889,1.9573352081534697e-05,0.17362816017256658,0.0035856798202515174
512,512,56,48,5,1.5413540896548166,0.0005302131463304386,0.3485584902819536,0.017429965947808317
512,512,40,56,3,1.396532325371326,0.00022704381982509972,0.23075829888593993,0.009592405751545666
256,512,48,40,4,1.2828561039506416,0.0012239713998351215,0.278693745041184,0.03374232758321215
1024,512,32,64,6,1.0949926544771007,2.3916885485480327e-06,0.32699187839273675,0.029045155932799247
512,128,56,56,3,1.2431764419649158,1.1544608204846143e-06,0.25339257559722256,0.040631216305779
512,128,56,56,3,1.2388607518978458,5.144843282352818e-06,0.247795830103002,0.03981377762120983
512,128,48,56,3,1.326274771402129,1.2671650451102742e-06,0.20811135728808794,0.01961667331139418
512,128,56,48,3,1.2204204629792557,3.421670388155513e-05,0.17746733815883947,0.016648061201312816
512,128,56,48,3,1.2074753874717232,1.077368557659268e-06,0.2950676327157116,0.026086484663663673
512,128,64,64,4,1.1151860992402647,3.525081831741872e-05,0.394149681975426,0.03981377762120983
256,256,48,48,3,1.2921034351799634,2.0435023065495494e-05,0.25580951068135094,0.01552314204936837
1024,128,40,40,3,1.4968966630789067,9.251661446922316e-06,0.17746733815883947,0.020926402901300673
512,256,56,56,5,1.2445094761497244,2.580988077419712e-06,0.3333334340429526,0.026548132842296655
1024,128,48,64,4,1.4276478942615751,0.008273749485522024,0.2146288519434102,0.038499677546033076
1024,128,48,64,4,1.428164248668105,0.0015540427679348414,0.3710272663595304,0.009318450626771151
512,256,32,32,7,1.5691414571818834,0.0005988211285092807,0.28179798736071077,0.0018417252131573577
256,128,64,56,3,1.091060381077971,0.00635998446705975,0.20811135728808794,0.04220502266943475
256,128,64,56,3,1.1948135443704522,0.004053796330776114,0.20968126849854005,0.0182413032636168
512,512,64,40,3,1.0758444425442928,0.0001575590966744667,0.05672276611427715,0.00503585008747413
512,512,64,48,3,1.0880430214661654,0.00043372601493017797,0.02367929370189581,0.004906901380612685
512,512,56,40,3,1.0783758401645485,0.0001904982738675133,0.08051365769490938,0.002635521708316176
512,512,56,40,3,1.0884298710817153,0.00011626443759517603,0.16305662792002668,0.0024043642145741726
512,512,64,40,4,1.3321431780506328,0.00022992026445668108,0.05672276611427715,0.00446377368980979
512,512,56,48,8,1.2561255259738735,0.00022142609511285676,0.10491244824790986,0.00842267027780255
