n_estimators,max_depth,learning_rate,subsample,colsample_bytree,score,state,trial_number
244,10,0.0483437145318464,0.8394633936788146,0.6624074561769746,7576.563073056279,COMPLETE,0.0
189,3,0.0984231573850259,0.8404460046972835,0.8832290311184182,7664.280266274192,COMPLETE,1.0
155,10,0.0823143373099554,0.6849356442713105,0.6727299868828402,7621.92311690429,COMPLETE,2.0
196,5,0.0161242784585626,0.7727780074568463,0.7164916560792167,8386.91695439987,COMPLETE,3.0
303,4,0.0047014692435609,0.7465447373174766,0.7824279936868144,10582.477970683425,COMPLETE,4.0
347,4,0.0152499657252135,0.836965827544817,0.6185801650879991,8331.368675073742,COMPLETE,5.0
302,4,0.0014115155493448,0.9795542149013332,0.9862528132298236,16515.8067317343,COMPLETE,6.0
352,5,0.0016778242384077,0.8736932106048627,0.7760609974958405,15051.144275436336,COMPLETE,7.0
180,6,0.0011998556988857,0.9637281608315128,0.7035119926400067,19414.434217869963,COMPLETE,8.0
316,5,0.0157286741949785,0.8186841117373118,0.6739417822102108,7947.616498045184,COMPLETE,9.0
244,10,0.0399749515493957,0.6071847502459278,0.6061470949312417,7401.4720157547035,COMPLETE,10.0
244,10,0.043609904247532,0.6342340273631956,0.6014947911252734,7619.963779441475,COMPLETE,11.0
244,8,0.0365843376099745,0.6207679281222178,0.6068168224647184,7445.257013696706,COMPLETE,12.0
254,8,0.195849787225585,0.6017262123368978,0.8583425762812965,7266.409567317273,COMPLETE,13.0
271,8,0.1964795746760233,0.6835456621083431,0.8680403705847436,7465.989284749879,COMPLETE,14.0
392,8,0.195823097427018,0.6792978030885949,0.8643422901169148,7199.0716068115335,COMPLETE,15.0
400,8,0.1377285488914457,0.6965785225662305,0.8768343204404235,6558.050320026525,COMPLETE,16.0
400,7,0.1020821342079193,0.7156729082930889,0.9486784874215776,6880.467135304114,COMPLETE,17.0
400,7,0.091722495887585,0.7344286390459843,0.9675917644032824,6896.640921492143,COMPLETE,18.0
365,7,0.0045971421622273,0.7213099979730666,0.9327269543406292,9684.197437062092,COMPLETE,19.0
374,9,0.0079885115413418,0.7674932129660024,0.9302845396487668,7862.947793289741,COMPLETE,20.0
384,7,0.0883736742795949,0.7253940508501681,0.9905884535270396,7043.694769082488,COMPLETE,21.0
400,6,0.1041881346019731,0.7099411795981051,0.942961249990038,7016.167899929419,COMPLETE,22.0
345,7,0.0276405558058329,0.6532396048063663,0.908350752820242,7170.082565772866,COMPLETE,23.0
400,9,0.1288149757741303,0.7868197143241926,0.8260215806250838,6981.382098123551,COMPLETE,24.0
328,6,0.0639182047446367,0.7480301788008992,0.9684790919994508,7117.658041799985,COMPLETE,25.0
369,9,0.1313106257146979,0.6644409603911416,0.9042887324734776,7240.1726498751395,COMPLETE,26.0
379,7,0.0250669157032377,0.8852579268404266,0.8240364675303944,7511.764373301388,COMPLETE,27.0
355,8,0.0679434944629743,0.7058882388012243,0.9536137947540329,7339.2789836604525,COMPLETE,28.0
331,6,0.0563173231364418,0.7463414951230963,0.9086991603306154,6655.053117744441,COMPLETE,29.0
