batch_size,virtual_batch_size,n_d,n_a,n_steps,gamma,lambda_sparse,momentum,learning_rate,score,state,trial_number
512,128,8,56,6,1.7080725777960457,1.2087541473056965e-06,0.3882648423431778,0.0259594255031126,7588.417693266727,COMPLETE,0.0
256,256,24,40,3,1.2921446485352182,2.9204338471814107e-05,0.187867293844644,0.0215769674558968,10474.47382543991,COMPLETE,1.0
1024,256,8,64,8,1.8083973481164612,1.6536937182824424e-05,0.0480921244624897,0.0145375555761619,14105.119314258925,COMPLETE,2.0
1024,256,48,24,6,1.5467102793432796,5.4880470007660465e-06,0.3881380048281778,0.0207456676567525,10230.250023116407,COMPLETE,3.0
256,128,8,24,5,1.2713490317738958,0.0020651425578959,0.1491337974104998,0.003001230180898,11070.077079828578,COMPLETE,4.0
1024,256,16,8,7,1.7068573438476171,0.0008241925264876,0.3107954352075188,0.0013359790328445,17562.372365208423,COMPLETE,5.0
1024,128,24,24,7,1.6375574713552132,0.0035387588647792,0.1941638208131602,0.0015965665886173,12563.18332690219,COMPLETE,6.0
512,128,32,8,3,1.031429185686734,0.000351270472627,0.1325988326197674,0.0073121711727864,9826.147373685286,COMPLETE,7.0
256,128,24,16,8,1.808120379564417,0.0003416764341832,0.3498696301732099,0.0231960882292936,9801.015605361987,COMPLETE,8.0
512,256,8,16,5,1.8180147659224932,0.002772824182801,0.0127113309071643,0.0073746998098167,10042.507399750917,COMPLETE,9.0
512,512,64,64,4,1.3802929602518108,1.1495785808637148e-06,0.2790901745966633,0.0441577929524479,,PRUNED,10.0
256,128,40,48,8,1.9893644166850804,0.0001469825120707,0.3963578031590618,0.0495800444045658,12594.708659266847,COMPLETE,11.0
256,128,24,48,6,1.9218167886964252,4.3341961019315915e-05,0.3122739759311075,0.0132032492325848,6011.9246748337155,COMPLETE,12.0
512,512,16,48,6,1.9452438175228208,1.3206767963364775e-06,0.2624349424782048,0.0124532083407301,11483.449107303932,COMPLETE,13.0
256,128,40,56,6,1.6512279310422993,4.481582587334915e-05,0.3333839248359506,0.0035084462654403,7758.945635966776,COMPLETE,14.0
512,128,16,40,7,1.9105363069977996,5.969970159489922e-06,0.251685429892216,0.0113100929212437,8822.041592812344,COMPLETE,15.0
256,128,56,56,5,1.4939180828913037,5.837827940843241e-06,0.3631518152240373,0.03296704329758,8555.471350547863,COMPLETE,16.0
512,512,32,48,4,1.7372917599132758,0.0001064400396078,0.2979045843495322,0.0305889374803826,6527.724846802904,COMPLETE,17.0
256,512,32,32,4,1.832158158021045,0.0001182240608169,0.2350708018457684,0.0047685861205108,8963.61690687526,COMPLETE,18.0
512,512,48,48,4,1.5305969023526922,6.127955244679004e-05,0.2976518200842449,0.0159660173349343,6992.344280819171,COMPLETE,19.0
512,512,32,40,3,1.89930033281376,1.8959140692027824e-05,0.22157235150649,0.0095218357565358,8089.311355282532,COMPLETE,20.0
512,512,48,48,4,1.5311722628160156,7.648351195487352e-05,0.2990746445247502,0.0159517423220829,7737.738261611912,COMPLETE,21.0
512,512,48,48,4,1.4297080210666786,0.0003048436304851,0.3081521031881307,0.0333199084853482,7828.871985195135,COMPLETE,22.0
512,512,40,32,5,1.7231655328544928,6.368157169543999e-05,0.3310733775330033,0.0158632454872702,7482.949535537051,COMPLETE,23.0
512,512,56,56,4,1.5927120359501552,1.0787340432603076e-05,0.2823573624237335,0.0093311389939605,6947.73664808784,COMPLETE,24.0
256,512,64,56,5,1.6088223416833334,1.1641637762986464e-05,0.2678312856944601,0.0045626243453353,,RUNNING,25.0
256,512,64,56,5,1.613001106790623,1.2251152926561815e-05,0.2677195636224838,0.0093184506267711,8913.107331069039,COMPLETE,26.0
512,512,56,64,3,1.756279625820209,9.125703046060952e-06,0.3527417140684398,0.0049415171711812,5549.939295029331,COMPLETE,27.0
512,512,24,64,3,1.8718207898963264,2.72167287543064e-06,0.3548737118123025,0.0057359784076018,7658.831477225801,COMPLETE,28.0
1024,512,32,64,3,1.7743482006251383,3.38350257166096e-05,0.3257357781577146,0.0024017325394439,9844.863790294909,COMPLETE,29.0
256,512,56,56,6,1.733198344404521,0.0001545508238572,0.3755097596164776,0.0044995341803113,7185.197047658985,COMPLETE,30.0
512,128,40,40,3,1.9906704376885411,0.0010034557922764,0.1446213167500279,0.0292159748814654,15563.032487877781,COMPLETE,31.0
512,512,56,56,4,1.6768180580956151,1.2228966986274276e-05,0.2893874677898749,0.0055484972631207,,RUNNING,32.0
512,512,56,56,4,1.6753907773143697,1.0514141925502078e-05,0.2394910554586383,0.0085457461916592,7888.828029679191,COMPLETE,33.0
512,512,64,64,4,1.7482276244662458,2.802087015558661e-05,0.2795748803411025,0.0059001624960288,7071.4292328566735,COMPLETE,34.0
512,512,56,56,3,1.589220321791638,2.72167287543064e-06,0.3516133471070684,0.0204873227054352,7875.53189574655,COMPLETE,35.0
512,256,24,48,5,1.8758965562083345,2.1377838950919493e-05,0.2159445997820157,0.0124532083407301,,RUNNING,36.0
512,256,24,48,5,1.8599590973260371,1.916979969306637e-05,0.1738614134866541,0.0116533146853445,9103.14875622344,COMPLETE,37.0
1024,512,32,64,4,1.461272324491517,9.125703046060952e-06,0.2940711366024314,0.0021995420471832,17157.939760436668,COMPLETE,38.0
256,256,48,56,7,1.5831780042523658,2.72167287543064e-06,0.3257254874073387,0.0039421239579456,,RUNNING,39.0
256,256,48,56,7,1.300564823049346,3.3392854555295902e-06,0.2103364652511414,0.0037319838216944,7391.503805753638,COMPLETE,40.0
512,512,56,40,3,1.7793996936613066,2.802087015558661e-05,0.323257076826455,0.0059001624960288,8188.681073586303,COMPLETE,41.0
1024,128,64,64,5,1.5831780042523658,0.0002251020186559,0.3840978582924739,0.019030005192542,,RUNNING,42.0
1024,128,16,64,5,1.038725199961183,0.0001957172872828,0.3773519440629491,0.0184143558545121,10835.506936738491,COMPLETE,43.0
256,256,24,48,6,1.6926701554197556,0.0007148778986704,0.1737009640977659,0.0127063039334183,9155.664163545018,COMPLETE,44.0
512,128,64,32,3,1.5831780042523658,1.6398364006746912e-05,0.2893874677898749,0.0272622557418312,5303.224008889849,COMPLETE,45.0
512,128,64,32,3,1.5890377820963195,0.0065716345392909,0.2784095096605777,0.027045592780222,5669.357696548847,COMPLETE,46.0
512,128,64,32,3,1.6482249061770238,0.0018167554688526,0.0745669497402973,0.0259809525466673,,RUNNING,47.0
512,128,64,32,3,1.6699453959858608,3.858929509718429e-05,0.3154959714270189,0.025220897686801,6349.8621411797,COMPLETE,48.0
