h1,h2,alpha,learning_rate_init,score,state,trial_number
136,124,0.0015702970884055,0.0015751320499779,0.6527360599717864,COMPLETE,0.0
94,47,1.493656855461762e-05,0.0053994844097874,0.6531599855543517,COMPLETE,1.0
180,100,1.1527987128232396e-05,0.0087060208783048,0.6739122510722574,COMPLETE,2.0
224,52,3.511356313970405e-05,0.0002327067708383,0.6591777422199001,COMPLETE,3.0
122,82,0.0001976218934028,0.0003823475224675,0.6471054197705678,COMPLETE,4.0
182,45,7.52374288453485e-05,0.0005404103854647,0.6698630345689169,COMPLETE,5.0
152,108,3.972110727381908e-05,0.0010677482709481,0.6603824236433966,COMPLETE,6.0
178,36,0.0006647135865318,0.0002193048555664,0.6504805090368722,COMPLETE,7.0
76,124,0.0078867141299904,0.004138040112561,0.6708525433658524,COMPLETE,8.0
122,41,0.0011290133559092,0.0007591104805282,0.6674133829512023,COMPLETE,9.0
248,86,1.0535179945522733e-05,0.0081317351820059,0.6377313677313677,COMPLETE,10.0
83,107,0.0085735552198003,0.0041660006013521,0.6550461537182732,COMPLETE,11.0
207,128,0.0094888230975259,0.0024792013326598,0.6737486199811299,COMPLETE,12.0
213,101,0.0032341503493501,0.002218451877905,0.6793703695688244,COMPLETE,13.0
204,98,0.0025708488678966,0.0085335793902504,0.6529570519096386,COMPLETE,14.0
241,65,0.000254750858751,0.0022575434418905,0.6640419839979024,COMPLETE,15.0
185,91,0.0001191038455651,0.0026543342098933,0.6523823763450125,COMPLETE,16.0
163,71,0.0005558750033077,0.0001267429398306,0.5864210906464428,COMPLETE,17.0
211,110,0.0034036140295661,0.0098257066024854,0.6541618059392972,COMPLETE,18.0
231,70,2.6087863453193185e-05,0.0012890062621984,0.6801071257072255,COMPLETE,19.0
256,69,0.0004746743333525,0.0011690267553173,0.6564829924460858,COMPLETE,20.0
222,96,3.1752351184226803e-05,0.0016546237824851,0.6703978577293814,COMPLETE,21.0
232,61,1.913815865295131e-05,0.0053193019496843,0.6713615023474179,COMPLETE,22.0
194,77,7.668734539044345e-05,0.0006906317361881,0.662827373569125,COMPLETE,23.0
157,101,2.0433353807620875e-05,0.0031768336336439,0.6763703996125561,COMPLETE,24.0
157,117,2.163327413191672e-05,0.0016574841718634,0.6736131505955294,COMPLETE,25.0
167,89,8.066214403758906e-05,0.0032182805953176,0.6765546891841873,COMPLETE,26.0
235,58,0.0001220572408456,0.0018417242076142,0.6521799986003219,COMPLETE,27.0
218,78,6.458957614434599e-05,0.0011479741954665,0.670985864168476,COMPLETE,28.0
195,89,0.0001345503332532,0.0031081021029946,0.652846380282393,COMPLETE,29.0
