n_estimators,max_depth,min_samples_split,min_samples_leaf,score,state,trial_number
225,18,8,3,0.7685517017959465,COMPLETE,0.0
163,6,2,4,0.6769181698975795,COMPLETE,1.0
288,14,2,4,0.7645636964337771,COMPLETE,2.0
353,7,3,1,0.7050137393941297,COMPLETE,3.0
205,11,5,2,0.7554616718653664,COMPLETE,4.0
291,6,4,2,0.6828646003725285,COMPLETE,5.0
248,15,3,3,0.7725612324240264,COMPLETE,6.0
286,4,7,1,0.6433419285783788,COMPLETE,7.0
138,18,10,4,0.7614629478683064,COMPLETE,8.0
205,5,8,2,0.6607511968167258,COMPLETE,9.0
385,14,5,3,0.7685966808775957,COMPLETE,10.0
382,14,5,3,0.7685882486314903,COMPLETE,11.0
340,14,4,3,0.7706005247303469,COMPLETE,12.0
325,11,3,3,0.7493384213868389,COMPLETE,13.0
241,16,4,3,0.7655078846786645,COMPLETE,14.0
332,9,6,2,0.7363117585831217,COMPLETE,15.0
270,16,3,4,0.7615498681620114,COMPLETE,16.0
308,13,4,3,0.763495076821829,COMPLETE,17.0
251,12,6,2,0.7613933659945691,COMPLETE,18.0
359,16,2,4,0.7585161130973831,COMPLETE,19.0
174,9,4,3,0.7321818542783403,COMPLETE,20.0
385,15,5,3,0.7746031746031746,COMPLETE,21.0
357,15,6,3,0.7746031746031746,COMPLETE,22.0
391,16,6,3,0.7655249775499191,COMPLETE,23.0
364,15,7,2,0.7695782934342377,COMPLETE,24.0
399,17,7,3,0.7725243835261333,COMPLETE,25.0
319,12,10,4,0.7544466403162056,COMPLETE,26.0
371,15,5,3,0.775602822807197,COMPLETE,27.0
371,9,5,2,0.7373796270145678,COMPLETE,28.0
345,18,8,3,0.7635123164130087,COMPLETE,29.0
