batch_size,virtual_batch_size,n_d,n_a,n_steps,gamma,lambda_sparse,momentum,learning_rate,score,state,trial_number
512,128,8,56,6,1.7080725777960457,1.2087541473056965e-06,0.3882648423431778,0.0259594255031126,0.6652791301525478,COMPLETE,0.0
256,256,24,40,3,1.2921446485352182,2.9204338471814107e-05,0.187867293844644,0.0215769674558968,0.7523937979974725,COMPLETE,1.0
1024,256,8,64,8,1.8083973481164612,1.6536937182824424e-05,0.0480921244624897,0.0145375555761619,0.6312518244623917,COMPLETE,2.0
1024,256,48,24,6,1.5467102793432796,5.4880470007660465e-06,0.3881380048281778,0.0207456676567525,0.656891339869281,COMPLETE,3.0
256,128,8,24,5,1.2713490317738958,0.0020651425578959,0.1491337974104998,0.003001230180898,0.674949627896396,COMPLETE,4.0
1024,256,16,8,7,1.7068573438476171,0.0008241925264876,0.3107954352075188,0.0013359790328445,0.5447389753566796,COMPLETE,5.0
1024,128,24,24,7,1.6375574713552132,0.0035387588647792,0.1941638208131602,0.0015965665886173,0.6187118877367705,COMPLETE,6.0
512,128,32,8,3,1.031429185686734,0.000351270472627,0.1325988326197674,0.0073121711727864,0.6839202897446448,COMPLETE,7.0
256,128,24,16,8,1.808120379564417,0.0003416764341832,0.3498696301732099,0.0231960882292936,0.6543975509748965,COMPLETE,8.0
512,256,8,16,5,1.8180147659224932,0.002772824182801,0.0127113309071643,0.0073746998098167,0.6523259881077299,COMPLETE,9.0
256,512,64,48,3,1.3420450074048331,4.4667086521247053e-05,0.2738632280996842,0.0433778270665543,0.7097018745160053,COMPLETE,10.0
256,512,64,48,3,1.3425159937377569,5.152848625271599e-05,0.2664483585012723,0.0497845938554246,0.7233375201284985,COMPLETE,11.0
256,512,48,40,4,1.3533961383269606,6.853689584322517e-05,0.2261680721123968,0.0481484770156338,0.6850950467971745,COMPLETE,12.0
256,512,64,40,4,1.1645649395414055,9.251661446922316e-06,0.2343818413445742,0.0124532083407301,0.6991048681681694,COMPLETE,13.0
256,512,40,48,3,1.4327191905259802,0.0001474267438787,0.1247542241727307,0.0347064700976636,0.7289150457999403,COMPLETE,14.0
256,256,40,48,4,1.982686156777805,0.0002103824577377,0.1086892149329959,0.0037478336042533,0.6738218964457516,COMPLETE,15.0
256,512,40,32,4,1.4910981482879055,1.7153925205498016e-06,0.0892382219310052,0.0134865803791725,0.6893548282355997,COMPLETE,16.0
