iterations,learning_rate,depth,l2_leaf_reg,score,state,trial_number
312,0.1540359659501924,9,0.6251373574521749,0.977313875782716,COMPLETE,0.0
246,0.0022853255256339,4,3.967605077052988,0.8837815358958114,COMPLETE,1.0
380,0.0425888821029008,4,8.123245085588687,0.9608878001917734,COMPLETE,2.0
450,0.0030803400529839,5,0.035498788321965,0.9441251856387272,COMPLETE,3.0
291,0.0161242784585626,7,0.074763120622523,0.9692066900672804,COMPLETE,4.0
384,0.0020940138873937,6,0.1256277350380703,0.9385182328590032,COMPLETE,5.0
337,0.0640786626185101,5,0.3489018845491387,0.9776064325866521,COMPLETE,6.0
378,0.0012790390175145,8,0.0324767357062744,0.9551174119120102,COMPLETE,7.0
219,0.1525506574511738,10,2.6619018884890564,0.9720778135040373,COMPLETE,8.0
291,0.0016778242384077,8,0.2091498132903561,0.9523164897615443,COMPLETE,9.0
484,0.0421536042662673,6,0.8306050731972228,0.9775975070075239,COMPLETE,10.0
481,0.0435682034115867,6,0.7451617972708874,0.9803768068553168,COMPLETE,11.0
435,0.0500141978025842,6,0.7118089084225317,0.9832441733985409,COMPLETE,12.0
440,0.0126056991238158,6,1.0960613851484895,0.9636929344359828,COMPLETE,13.0
497,0.0136750403749796,7,1.7606431522691663,0.9665529447393488,COMPLETE,14.0
435,0.0687708181755343,5,0.3076974779163996,0.9776064325866521,COMPLETE,15.0
412,0.0260804626750492,6,9.728583151931058,0.958148603106926,COMPLETE,16.0
475,0.0046869292879215,8,0.0158508349215681,0.9636743733536128,COMPLETE,17.0
421,0.007170961565414,7,0.4926337584802548,0.9665050157902636,COMPLETE,18.0
462,0.0838740627399861,5,1.5846390335620455,0.9804207400447954,COMPLETE,19.0
400,0.1088671181427129,4,4.528806679844658,0.9747525513081132,COMPLETE,20.0
465,0.0795563105712756,5,1.4257765978594634,0.9804682769371175,COMPLETE,21.0
462,0.0851423521807459,5,1.5033819282269176,0.9832465906550414,COMPLETE,22.0
500,0.0267048434705803,5,1.7541814861340452,0.9691332687503709,COMPLETE,23.0
453,0.1895782351612326,4,3.2817878215762892,0.983211047104545,COMPLETE,24.0
357,0.1805120528130792,4,3.693382040879321,0.9774726537094232,COMPLETE,25.0
447,0.1181841164560908,4,2.5480396980655287,0.977605896646506,COMPLETE,26.0
422,0.027778695096941,5,5.887057869447709,0.9637763298343233,COMPLETE,27.0
406,0.1158485797986653,4,0.1710670035429498,0.9776005934433712,COMPLETE,28.0
330,0.1828491191365746,7,0.5312244473564198,0.9832465906550414,COMPLETE,29.0
