n_estimators,num_leaves,max_depth,learning_rate,subsample,colsample_bytree,score,state,trial_number
244,244,12,0.023852347578447,0.6624074561769746,0.662397808134481,0.9692369530571685,COMPLETE,0.0
164,223,9,0.0425888821029008,0.608233797718321,0.9879639408647978,0.9635270459954167,COMPLETE,1.0
358,66,2,0.0026425260575499,0.7216968971838151,0.8099025726528951,0.867283609805644,COMPLETE,2.0
258,85,10,0.0020940138873937,0.7168578594140873,0.7465447373174767,0.9412674781669572,COMPLETE,3.0
264,204,2,0.0152499657252135,0.836965827544817,0.6185801650879991,0.9491600677494137,COMPLETE,4.0
302,56,0,0.1525506574511738,0.9862528132298236,0.9233589392465844,0.9691998824632189,COMPLETE,5.0
226,38,11,0.0102992142046019,0.6488152939379115,0.798070764044508,0.9439302424379983,COMPLETE,6.0
158,234,3,0.0334567421369682,0.7246844304357644,0.8080272084711243,0.957717796556639,COMPLETE,7.0
287,59,16,0.0607580570276163,0.9757995766256756,0.9579309401710596,0.9578690777330596,COMPLETE,8.0
300,237,0,0.0028246357083904,0.6180909155642152,0.7301321323053057,0.941034776284296,COMPLETE,9.0
387,149,15,0.0074654640047615,0.8560354009870226,0.6154900799844731,0.9606643645518987,COMPLETE,10.0
334,118,6,0.196367161674433,0.9969616466735336,0.9028831654600392,0.9636681638941285,COMPLETE,11.0
221,144,13,0.1569727347987138,0.9036475604692448,0.8971324019768526,0.9608549697602123,COMPLETE,12.0
214,16,7,0.0968116572970653,0.7874820875551369,0.7097939893129923,0.9663570135123463,COMPLETE,13.0
325,196,-1,0.0216398096423432,0.9264292898946008,0.6730139514168567,0.9635077960594695,COMPLETE,14.0
252,103,13,0.0057633332462335,0.7724181867958475,0.8742018432515738,0.9296455615665238,COMPLETE,15.0
189,159,6,0.0727846001638243,0.6769439514353582,0.8604911724169197,0.9577513753154859,COMPLETE,16.0
310,181,4,0.0248816598839285,0.9146511487079994,0.6696804256368893,0.9634000447073824,COMPLETE,17.0
243,120,12,0.112882310610123,0.843703982484205,0.769105326937838,0.9607543896887941,COMPLETE,18.0
355,169,8,0.0047912876189427,0.7564760504940259,0.9438599500782204,0.9357171364272624,COMPLETE,19.0
282,252,14,0.0012545542723008,0.948251200460776,0.8501381218103035,0.9126849217055432,COMPLETE,20.0
200,16,6,0.1020977541613615,0.8185216515388213,0.6968499026400689,0.9693140849836155,COMPLETE,21.0
194,27,5,0.0511315866175419,0.8830602685027531,0.6681845114128452,0.9692041807086067,COMPLETE,22.0
191,28,5,0.0507790466570767,0.8840949683982557,0.663218542296992,0.9690614134278208,COMPLETE,23.0
191,79,8,0.0285562719954386,0.8061687062628188,0.6989556135410444,0.9663154239776061,COMPLETE,24.0
203,39,10,0.0814696064377675,0.8094550855820297,0.6378529851645344,0.9692369530571685,COMPLETE,25.0
238,43,11,0.0940599117620452,0.8096966347411452,0.6374036596072139,0.9692369530571685,COMPLETE,26.0
173,15,9,0.0154987125011023,0.7526597646391254,0.6031840139064132,0.9578817558562467,COMPLETE,27.0
210,75,10,0.076599392591151,0.6823147141949885,0.643055396010461,0.9663154239776061,COMPLETE,28.0
175,97,11,0.0382365463653148,0.8218684514347849,0.7013525747386555,0.9664248717028878,COMPLETE,29.0
