h1,h2,alpha,learning_rate_init,score,state,trial_number
136,124,0.0015702970884055,0.0015751320499779,0.9748034353882659,COMPLETE,0.0
94,47,1.493656855461762e-05,0.0053994844097874,0.9636114927403755,COMPLETE,1.0
180,100,1.1527987128232396e-05,0.0087060208783048,0.9664185503464836,COMPLETE,2.0
224,52,3.511356313970405e-05,0.0002327067708383,0.9688131596047136,COMPLETE,3.0
122,82,0.0001976218934028,0.0003823475224675,0.9634979916985001,COMPLETE,4.0
182,45,7.52374288453485e-05,0.0005404103854647,0.9637287222693699,COMPLETE,5.0
152,108,3.972110727381908e-05,0.0010677482709481,0.9691279623172351,COMPLETE,6.0
178,36,0.0006647135865318,0.0002193048555664,0.9607001211411885,COMPLETE,7.0
76,124,0.0078867141299904,0.004138040112561,0.969233933326829,COMPLETE,8.0
122,41,0.0011290133559092,0.0007591104805282,0.948817629984184,COMPLETE,9.0
246,77,0.0037714070968633,0.0019036906911441,0.9689696567546318,COMPLETE,10.0
70,122,0.0091371009929018,0.0027134757518426,0.9608080391626517,COMPLETE,11.0
76,128,0.0025964972511287,0.0031245564451575,0.9716831076613056,COMPLETE,12.0
119,128,0.0016528503040936,0.0017340750366137,0.960552850430487,COMPLETE,13.0
146,106,0.000317391996159,0.0012707276506775,0.9579092402273958,COMPLETE,14.0
95,91,0.0023384464162174,0.0031288411082155,0.9551040254182308,COMPLETE,15.0
212,117,0.0005777559548856,0.0098182268781891,0.963901408694721,COMPLETE,16.0
98,65,0.0039011663045602,0.0053176740028311,0.9858964109664703,COMPLETE,17.0
102,64,0.0041061940814141,0.0061055215573013,0.9773853403412526,COMPLETE,18.0
95,61,0.0047109323766656,0.0057772898325552,0.9524582015983203,COMPLETE,19.0
106,67,0.0001760434411056,0.0063175188421753,0.9581483559625312,COMPLETE,20.0
138,62,0.0011023989459983,0.0001187777508244,0.9105166610339843,COMPLETE,21.0
130,73,0.0056722121030896,0.0019091085731483,0.9665221733568478,COMPLETE,22.0
161,88,0.0025158270472428,0.0042182549039038,0.9607996946409061,COMPLETE,23.0
110,68,0.0010946237623202,0.0078272616707649,0.9687030769192887,COMPLETE,24.0
64,54,0.0040916933711449,0.002596441662491,0.957696085720606,COMPLETE,25.0
86,93,0.0017054266769301,0.0046165874627168,0.9712856307625746,COMPLETE,26.0
107,58,0.0005261001220107,0.0015103406097788,0.9719063819307874,COMPLETE,27.0
160,82,0.0065625804711948,0.0007336538861985,0.9717278799856457,COMPLETE,28.0
90,70,0.0031849696475032,0.0064790614240634,0.960937129673861,COMPLETE,29.0
