n_estimators,max_depth,min_samples_split,min_samples_leaf,score,state,trial_number
225,18,8,3,0.9633911447922225,COMPLETE,0.0
163,6,2,4,0.9498100327828795,COMPLETE,1.0
288,14,2,4,0.9606601130146238,COMPLETE,2.0
353,7,3,1,0.966068027778703,COMPLETE,3.0
205,11,5,2,0.9688657125276597,COMPLETE,4.0
291,6,4,2,0.9522894486201038,COMPLETE,5.0
248,15,3,3,0.9579267197748367,COMPLETE,6.0
286,4,7,1,0.8981475316069568,COMPLETE,7.0
138,18,10,4,0.9579635826371176,COMPLETE,8.0
205,5,8,2,0.9217952736361372,COMPLETE,9.0
385,11,5,2,0.9661538624800053,COMPLETE,10.0
382,10,5,2,0.9688657125276597,COMPLETE,11.0
340,10,6,2,0.9634577977635808,COMPLETE,12.0
193,9,5,1,0.9633911447922225,COMPLETE,13.0
398,13,6,3,0.9633292890399643,COMPLETE,14.0
331,8,4,2,0.966068027778703,COMPLETE,15.0
169,12,5,3,0.9633911447922225,COMPLETE,16.0
253,10,7,1,0.966068027778703,COMPLETE,17.0
127,12,10,2,0.9633911447922225,COMPLETE,18.0
311,15,4,3,0.9661478914758355,COMPLETE,19.0
226,8,6,1,0.9579267197748367,COMPLETE,20.0
385,11,5,2,0.9661538624800053,COMPLETE,21.0
373,11,5,2,0.9661538624800053,COMPLETE,22.0
364,9,7,2,0.966126973788921,COMPLETE,23.0
398,13,3,2,0.966126973788921,COMPLETE,24.0
322,9,4,3,0.9633292890399643,COMPLETE,25.0
353,12,6,2,0.9661946398688437,COMPLETE,26.0
343,16,8,1,0.9688657125276597,COMPLETE,27.0
305,15,8,1,0.9688657125276597,COMPLETE,28.0
236,18,9,1,0.9689484859668325,COMPLETE,29.0
