batch_size,virtual_batch_size,n_d,n_a,n_steps,gamma,lambda_sparse,momentum,learning_rate,score,state,trial_number
512,128,8,56,6,1.7080725777960457,1.2087541473056965e-06,0.3882648423431778,0.0259594255031126,0.9549216479393318,COMPLETE,0.0
256,256,24,40,3,1.2921446485352182,2.9204338471814107e-05,0.187867293844644,0.0215769674558968,0.9520522470868003,COMPLETE,1.0
1024,256,8,64,8,1.8083973481164612,1.6536937182824424e-05,0.0480921244624897,0.0145375555761619,0.7623358073337314,COMPLETE,2.0
1024,256,48,24,6,1.5467102793432796,5.4880470007660465e-06,0.3881380048281778,0.0207456676567525,0.955617530741993,COMPLETE,3.0
256,128,8,24,5,1.2713490317738958,0.0020651425578959,0.1491337974104998,0.003001230180898,0.9501937776285603,COMPLETE,4.0
1024,256,16,8,7,1.7068573438476171,0.0008241925264876,0.3107954352075188,0.0013359790328445,0.04836578824576017,COMPLETE,5.0
1024,128,24,24,7,1.6375574713552132,0.0035387588647792,0.1941638208131602,0.0015965665886173,0.2885943892710976,COMPLETE,6.0
512,128,32,8,3,1.031429185686734,0.000351270472627,0.1325988326197674,0.0073121711727864,0.957844646976883,COMPLETE,7.0
256,128,24,16,8,1.808120379564417,0.0003416764341832,0.3498696301732099,0.0231960882292936,0.9471247594166753,COMPLETE,8.0
512,256,8,16,5,1.8180147659224932,0.002772824182801,0.0127113309071643,0.0073746998098167,0.7669649182528395,COMPLETE,9.0
512,512,64,40,3,1.038725199961183,0.0001545508238572,0.122733111237657,0.0056765614477572,0.9493800497846921,COMPLETE,10.0
512,512,48,8,4,1.447710506175092,1.976706172673114e-06,0.2768602962704293,0.0480152630577269,0.9436041633913934,COMPLETE,11.0
1024,128,40,32,6,1.0863689218192705,2.4577274607965296e-05,0.2472106943017781,0.0085866186508795,0.9663402523863344,COMPLETE,12.0
1024,128,40,48,4,1.0255494948105432,4.678399386530011e-05,0.253255787061306,0.0074412980057116,0.958289747226503,COMPLETE,13.0
1024,128,48,48,4,1.1615014359678733,4.24668042966499e-05,0.2587090012390808,0.0043291435983211,0.9499775240359843,COMPLETE,14.0
1024,128,40,48,4,1.982686156777805,6.077669701453528e-06,0.2476113829220999,0.0113100929212437,0.9295022944431615,COMPLETE,15.0
1024,128,64,32,5,1.1830330028504403,0.0001029128212898,0.3146478988155265,0.0027452884108223,0.904358252271685,COMPLETE,16.0
1024,512,40,48,6,1.4014164571911434,9.93363269800576e-06,0.2337388923271809,0.0112574794064872,0.932942537646763,COMPLETE,17.0
1024,128,56,64,7,1.1291412646826455,6.731983435207157e-05,0.3160737888375476,0.0042200744247007,0.9132188746066054,COMPLETE,18.0
1024,128,32,32,4,1.3214044889183518,2.947896141610806e-06,0.2146453022175908,0.0020891845571362,0.8650532500304748,COMPLETE,19.0
256,512,40,56,5,1.077754039878503,2.017039713859292e-05,0.1786450233221688,0.0111232207512275,0.9718328239522892,COMPLETE,20.0
256,512,40,56,5,1.0115170022124371,2.413734643326353e-05,0.1588432705231474,0.0093929792549535,0.9722150429192682,COMPLETE,21.0
256,512,32,56,5,1.1118518437810017,1.8507205403190595e-05,0.1605509873439938,0.012755780222691,0.9664190077732429,COMPLETE,22.0
256,512,32,56,5,1.2170551823907114,1.1075114999779092e-05,0.0869012267064291,0.0138315421109856,0.971922186730515,COMPLETE,23.0
256,512,56,56,5,1.2206107577495586,7.893369163237694e-06,0.0922750756969546,0.0356855970802716,0.9636417880839219,COMPLETE,24.0
256,512,32,64,5,1.0003750747463769,3.5154577760631804e-06,0.0781225977701046,0.0176177767488265,0.9604078061537228,COMPLETE,25.0
256,512,48,56,6,1.3600994318203172,1.2852556443600232e-05,0.1011978855542652,0.0098536493499031,0.9525907894933304,COMPLETE,26.0
256,512,24,64,4,1.227139838584197,0.0001713589454232,0.1718214236349752,0.0054931250213855,0.9749925378094393,COMPLETE,27.0
256,512,16,64,4,1.2329515859919349,0.000228090863453,0.0526539101390317,0.004937743104954,0.9664640868347641,COMPLETE,28.0
256,512,16,64,3,1.5133191198775675,1.2275998798922611e-06,0.1157423509214314,0.0055874320606447,0.9466506194866785,COMPLETE,29.0
256,512,24,56,4,1.4189672318129023,0.0005619097598038,0.1630566279200266,0.0306508777223152,0.9803717848140734,COMPLETE,30.0
256,512,24,56,4,1.426462991781243,0.0008331592208215,0.1518433504354508,0.0401980434947665,0.9633906454323664,COMPLETE,31.0
256,512,24,48,4,1.339800676607403,0.0064384177042443,0.2129344769188305,0.0164244970216655,0.972055480313246,COMPLETE,32.0
256,512,16,40,3,1.3213658886371138,0.0065716345392909,0.2117722455991209,0.0253153357457764,0.9745266568727885,COMPLETE,33.0
