n_estimators,num_leaves,max_depth,learning_rate,subsample,colsample_bytree,score,state,trial_number
244,244,12,0.023852347578447,0.6624074561769746,0.662397808134481,0.5487804878048781,COMPLETE,0.0
164,223,9,0.0425888821029008,0.608233797718321,0.9879639408647978,0.5457317073170732,COMPLETE,1.0
358,66,2,0.0026425260575499,0.7216968971838151,0.8099025726528951,0.0,COMPLETE,2.0
258,85,10,0.0020940138873937,0.7168578594140873,0.7465447373174767,0.19047619047619047,COMPLETE,3.0
264,204,2,0.0152499657252135,0.836965827544817,0.6185801650879991,0.5291338582677165,COMPLETE,4.0
302,56,0,0.1525506574511738,0.9862528132298236,0.9233589392465844,0.5385779122541604,COMPLETE,5.0
226,38,11,0.0102992142046019,0.6488152939379115,0.798070764044508,0.5623100303951368,COMPLETE,6.0
158,234,3,0.0334567421369682,0.7246844304357644,0.8080272084711243,0.5752212389380531,COMPLETE,7.0
287,59,16,0.0607580570276163,0.9757995766256756,0.9579309401710596,0.5382262996941896,COMPLETE,8.0
300,237,0,0.0028246357083904,0.6180909155642152,0.7301321323053057,0.4153846153846154,COMPLETE,9.0
155,152,5,0.00628223683854,0.8443228109006988,0.876098829427658,0.3858267716535433,COMPLETE,10.0
204,17,6,0.0074727551166462,0.759327832364161,0.8285789075346517,0.4948453608247423,COMPLETE,11.0
199,158,13,0.0080779088830364,0.6800135171371839,0.7240895182544894,0.5248,COMPLETE,12.0
209,115,5,0.0728537303697068,0.7892765948430842,0.8630011610888938,0.5794947994056464,COMPLETE,13.0
180,114,4,0.1958230974270183,0.8056891692692756,0.8847573375332742,0.5967976710334789,COMPLETE,14.0
195,115,7,0.1958297861675896,0.9191979476316068,0.8980514100031195,0.561046511627907,COMPLETE,15.0
343,101,3,0.0907177516823533,0.8080189347865446,0.8604911724169197,0.5844346549192364,COMPLETE,16.0
391,181,4,0.1022686228930273,0.8647080858469188,0.9178581456448356,0.6011730205278593,COMPLETE,17.0
385,184,8,0.1296255269786999,0.8986384587474865,0.9383002532349052,0.5393939393939394,COMPLETE,18.0
327,175,-1,0.0863423051038135,0.8885879965461793,0.9796502296883144,0.5188679245283019,COMPLETE,19.0
398,149,4,0.0239768192659008,0.861064501034747,0.9117772967102288,0.5924855491329479,COMPLETE,20.0
391,137,4,0.0221060810793768,0.8711800484586973,0.9181086736633626,0.5953757225433526,COMPLETE,21.0
372,130,6,0.0012566402380405,0.9276269504938004,0.9469170523290406,0.046875,COMPLETE,22.0
332,186,1,0.1234429430424325,0.8153351616042344,0.8867511507246187,0.5781021897810219,COMPLETE,23.0
399,135,4,0.058812729226534,0.7760079163859634,0.9173201349557616,0.5904486251808972,COMPLETE,24.0
365,90,7,0.0421137547769073,0.8651250666290947,0.8410225463527263,0.5739910313901345,COMPLETE,25.0
349,171,4,0.1878110805390213,0.8927667771131523,0.762103355239472,0.5901162790697675,COMPLETE,26.0
310,204,1,0.0155522498099319,0.9553495329068356,0.9740966321798316,0.48135593220338985,COMPLETE,27.0
183,128,6,0.1159736875185756,0.7516216519894191,0.8471542844426491,0.5743740795287187,COMPLETE,28.0
237,255,8,0.0213331648697927,0.824372122928994,0.9960344229775336,0.5471406491499228,COMPLETE,29.0
