h1,h2,alpha,learning_rate_init,score,state,trial_number
136,124,0.0015702970884055,0.0015751320499779,0.5882352941176471,COMPLETE,0.0
94,47,1.493656855461762e-05,0.0053994844097874,0.5617021276595745,COMPLETE,1.0
180,100,1.1527987128232396e-05,0.0087060208783048,0.6131191432396251,COMPLETE,2.0
224,52,3.511356313970405e-05,0.0002327067708383,0.5868945868945868,COMPLETE,3.0
122,82,0.0001976218934028,0.0003823475224675,0.5474339035769828,COMPLETE,4.0
182,45,7.52374288453485e-05,0.0005404103854647,0.6094182825484764,COMPLETE,5.0
152,108,3.972110727381908e-05,0.0010677482709481,0.5402124430955993,COMPLETE,6.0
178,36,0.0006647135865318,0.0002193048555664,0.5981308411214953,COMPLETE,7.0
76,124,0.0078867141299904,0.004138040112561,0.6319702602230484,COMPLETE,8.0
122,41,0.0011290133559092,0.0007591104805282,0.5865921787709497,COMPLETE,9.0
67,77,0.0081023562077666,0.0026259091274483,0.5965417867435159,COMPLETE,10.0
213,107,0.0085735552198003,0.0094022601730917,0.5714285714285714,COMPLETE,11.0
246,128,0.0001618553385117,0.0035598913444921,0.5887445887445888,COMPLETE,12.0
192,102,0.0026407385595477,0.0085290320903205,0.5562310030395137,COMPLETE,13.0
87,89,1.0550953294317407e-05,0.002642512638492,0.579750346740638,COMPLETE,14.0
159,117,0.0005127835498057,0.0049190073390103,0.6040816326530613,COMPLETE,15.0
212,97,0.0028922252530606,0.0018261393625396,0.47017543859649125,COMPLETE,16.0
100,72,0.0001113451459646,0.0057023912522625,0.5794117647058824,COMPLETE,17.0
68,64,0.0003099246938221,0.0098968806781691,0.5866302864938608,COMPLETE,18.0
248,117,2.6087863453193185e-05,0.0001368547114885,0.582089552238806,COMPLETE,19.0
143,92,0.0036191394844919,0.0038012932728193,0.5946704067321178,COMPLETE,20.0
179,64,5.216848731930831e-05,0.0005278282765961,0.5816618911174785,COMPLETE,21.0
177,116,9.852731921006904e-05,0.0009666451671739,0.5804597701149425,COMPLETE,22.0
194,88,6.559636328762378e-05,0.0004165007892349,0.5542168674698795,COMPLETE,23.0
168,61,2.0136821017787445e-05,0.00142527395082,0.6212871287128713,COMPLETE,24.0
123,57,1.7178614657542817e-05,0.0017555873648661,0.5335463258785943,COMPLETE,25.0
160,69,2.128857701048591e-05,0.0066895929107523,0.5692995529061102,COMPLETE,26.0
137,110,1.19492022649856e-05,0.0029292634011598,0.6010928961748634,COMPLETE,27.0
109,100,0.0051316906304112,0.0011906476151652,0.5848787446504993,COMPLETE,28.0
168,122,0.0015018580927677,0.0019599971648393,0.5722379603399433,COMPLETE,29.0
