n_estimators,max_depth,min_samples_split,min_samples_leaf,score,state,trial_number
225,18,8,3,0.0,COMPLETE,0.0
163,6,2,4,0.0,COMPLETE,1.0
288,14,2,4,0.0,COMPLETE,2.0
353,7,3,1,0.0,COMPLETE,3.0
205,11,5,2,0.0,COMPLETE,4.0
291,6,4,2,0.0,COMPLETE,5.0
248,15,3,3,0.0,COMPLETE,6.0
286,4,7,1,0.0,COMPLETE,7.0
138,18,10,4,0.0,COMPLETE,8.0
205,5,8,2,0.0,COMPLETE,9.0
385,11,10,3,0.0,COMPLETE,10.0
130,9,6,4,0.0,COMPLETE,11.0
180,18,8,3,0.0,COMPLETE,12.0
172,15,8,4,0.0,COMPLETE,13.0
240,8,6,3,0.0,COMPLETE,14.0
164,9,9,4,0.0,COMPLETE,15.0
217,13,5,3,0.0,COMPLETE,16.0
153,16,2,4,0.0,COMPLETE,17.0
218,12,7,3,0.0,COMPLETE,18.0
325,10,5,2,0.0,COMPLETE,19.0
179,4,9,4,0.0,COMPLETE,20.0
280,14,2,4,0.0,COMPLETE,21.0
312,17,3,4,0.0,COMPLETE,22.0
266,13,2,3,0.0,COMPLETE,23.0
249,16,4,4,0.0,COMPLETE,24.0
120,14,4,3,0.0,COMPLETE,25.0
317,17,3,4,0.0,COMPLETE,26.0
226,7,7,4,0.0,COMPLETE,27.0
193,12,2,3,0.0,COMPLETE,28.0
350,7,4,1,0.0,COMPLETE,29.0
