batch_size,virtual_batch_size,n_d,n_a,n_steps,gamma,lambda_sparse,momentum,learning_rate,score,state,trial_number
512,128,8,56,6,1.7080725777960457,1.2087541473056965e-06,0.3882648423431778,0.0259594255031126,0.5813060179257362,COMPLETE,0.0
256,256,24,40,3,1.2921446485352182,2.9204338471814107e-05,0.187867293844644,0.0215769674558968,0.6229508196721312,COMPLETE,1.0
1024,256,8,64,8,1.8083973481164612,1.6536937182824424e-05,0.0480921244624897,0.0145375555761619,0.07888631090487239,COMPLETE,2.0
1024,256,48,24,6,1.5467102793432796,5.4880470007660465e-06,0.3881380048281778,0.0207456676567525,0.5965770171149144,COMPLETE,3.0
256,128,8,24,5,1.2713490317738958,0.0020651425578959,0.1491337974104998,0.003001230180898,0.0,COMPLETE,4.0
1024,256,16,8,7,1.7068573438476171,0.0008241925264876,0.3107954352075188,0.0013359790328445,0.08316008316008316,COMPLETE,5.0
1024,128,24,24,7,1.6375574713552132,0.0035387588647792,0.1941638208131602,0.0015965665886173,,PRUNED,6.0
512,128,32,8,3,1.031429185686734,0.000351270472627,0.1325988326197674,0.0073121711727864,0.5843293492695883,COMPLETE,7.0
256,128,24,16,8,1.808120379564417,0.0003416764341832,0.3498696301732099,0.0231960882292936,0.5830258302583026,COMPLETE,8.0
512,256,8,16,5,1.8180147659224932,0.002772824182801,0.0127113309071643,0.0073746998098167,,RUNNING,9.0
512,128,8,56,6,1.7080725777960457,1.2087541473056965e-06,0.3882648423431778,0.0259594255031126,,PRUNED,10.0
256,512,64,40,3,1.3420450074048331,4.4667086521247053e-05,0.2738632280996842,0.0433778270665543,0.6126315789473684,COMPLETE,11.0
256,512,64,40,3,1.3425159937377569,5.152848625271599e-05,0.2664483585012723,0.0497845938554246,0.6153846153846154,COMPLETE,12.0
256,512,48,40,4,1.3533961383269606,6.853689584322517e-05,0.2261680721123968,0.0481484770156338,0.5793650793650794,COMPLETE,13.0
256,512,64,48,4,1.1645649395414055,9.251661446922316e-06,0.2343818413445742,0.0100333092067896,0.6155717761557178,COMPLETE,14.0
256,512,40,48,4,1.0619407728604469,1.2465591223282594e-05,0.0940213638309093,0.009266066295193,0.45309734513274336,COMPLETE,15.0
256,256,56,48,4,1.1910341393121635,5.051649688618402e-06,0.1966909829348929,0.0046602778143586,0.0,COMPLETE,16.0
256,256,32,32,5,1.171601214350559,1.733018180876814e-05,0.2463243292830034,0.0113139535801489,0.5638766519823789,COMPLETE,17.0
256,512,40,48,4,1.4971298564065387,0.0001932513052109,0.1479990347188378,0.015056760445291,0.571041948579161,COMPLETE,18.0
256,512,24,64,3,1.472122575176048,3.7057396559646633e-06,0.307814964948126,0.0047685861205108,0.6054590570719603,COMPLETE,19.0
512,256,56,32,5,1.143691357905378,2.3044228330691517e-05,0.1869276089426121,0.0036659818533164,0.4902597402597403,COMPLETE,20.0
256,512,16,56,4,1.2400784928737374,0.0001282913727261,0.0145321750347456,0.0070982775124447,,RUNNING,21.0
256,512,16,56,4,1.2520829939453777,0.0001205419963563,0.0287907424845737,0.0069244587257154,0.5184,COMPLETE,22.0
256,512,64,40,3,1.385529339126863,4.070365071809795e-05,0.2633520158114498,0.0347135446860135,0.5892514395393474,COMPLETE,23.0
256,512,56,48,3,1.4147579791873306,9.300431796743934e-05,0.2910022746572004,0.0357605980747359,0.6095890410958904,COMPLETE,24.0
256,512,64,32,3,1.2746614503838989,9.251661446922316e-06,0.22369346671449,0.0176786421421402,0.604602510460251,COMPLETE,25.0
256,512,48,40,4,1.089919365126966,2.5731412105333764e-06,0.3378540256356426,0.0107459883943432,0.5937136204889406,COMPLETE,26.0
256,256,56,48,3,1.982686156777805,3.312346861536039e-05,0.1711387208589273,0.0316814461012431,0.5995316159250585,COMPLETE,27.0
256,512,64,32,4,1.212630362930308,8.522190809440443e-06,0.2355864839477563,0.0138852341987128,0.4224299065420561,COMPLETE,28.0
256,256,32,56,5,1.3274905876428211,4.8898526954696605e-05,0.1101157061980769,0.0493696557290399,0.5945945945945946,COMPLETE,29.0
1024,512,40,40,3,1.098170314649015,0.0001442297214177,0.2601395130910712,0.0303683478798946,,PRUNED,30.0
512,256,16,48,4,1.461630039747477,1.527797746456393e-06,0.2164338089126282,0.0200751657060055,,PRUNED,31.0
512,512,48,56,3,1.5999835330446306,0.0002654908977187,0.1630246676678565,0.0077119352735835,,PRUNED,32.0
256,512,64,40,3,1.319716067997671,2.7256956102933175e-05,0.2810412361670898,0.0414579971647003,0.6046511627906976,COMPLETE,33.0
256,512,64,40,3,1.4245732685459882,6.455760481852426e-05,0.2746099655740663,0.0271484359993979,0.6183574879227053,COMPLETE,34.0
256,512,56,32,3,1.4108016133238723,0.0007955110174517,0.3277826237972954,0.0273697633073669,0.6053811659192825,COMPLETE,35.0
256,512,64,40,4,1.2343667834341925,8.024177787769819e-05,0.3617292598446142,0.0169343125765797,0.6201923076923077,COMPLETE,36.0
1024,256,56,24,5,1.2422456636339645,8.170501570391059e-05,0.3625041160901375,0.0127558035294283,,PRUNED,37.0
256,512,64,48,4,1.1420007938163983,0.0006001101086418,0.378412984110146,0.0174299659478083,,RUNNING,38.0
256,512,64,48,4,1.5628765992594664,1.24873333978945e-05,0.3731089117089919,0.0184143558545121,0.5979899497487438,COMPLETE,39.0
1024,128,48,24,5,1.2866578065842866,0.0009888858285195,0.3069637110744173,0.0161363288121776,,RUNNING,40.0
1024,128,48,24,5,1.2866578065842866,0.0009888858285195,0.3069637110744173,0.0161363288121776,,PRUNED,41.0
256,256,24,32,4,1.1415633079482834,1.9209771101525475e-05,0.246801866872958,0.0235854001266232,0.6063569682151589,COMPLETE,42.0
256,128,56,64,7,1.038964729556176,6.208665882627908e-06,0.3949390819228245,0.0022570909164822,,RUNNING,43.0
256,128,16,64,6,1.038725199961183,6.67733262360866e-06,0.0618768673192431,0.0093184506267711,,PRUNED,44.0
1024,512,56,40,4,1.2127699161718255,0.0004885402282659,0.3259635341319772,0.0018417252131573,,RUNNING,45.0
1024,512,56,16,4,1.443402726247016,0.000172004415372,0.1784959026071539,0.0214468355067963,,PRUNED,46.0
256,512,64,40,3,1.2185261747281195,6.50881569263673e-05,0.2958887666886242,0.0265402063901002,0.6061855670103092,COMPLETE,47.0
256,512,64,40,7,1.3730088630350372,2.4577274607965296e-05,0.2076504554537886,0.0391979994898807,0.5786802030456852,COMPLETE,48.0
256,512,64,40,3,1.2908321620702243,0.0065716345392909,0.3956978735338296,0.0018665439097059,,RUNNING,49.0
