iterations,learning_rate,depth,l2_leaf_reg,score,state,trial_number
312,0.1540359659501924,9,0.6251373574521749,0.8627450980392157,COMPLETE,0.0
246,0.0022853255256339,4,3.9676050770529874,0.851063829787234,COMPLETE,1.0
380,0.0425888821029008,4,8.123245085588687,0.8627450980392157,COMPLETE,2.0
450,0.0030803400529839,5,0.035498788321965,0.88,COMPLETE,3.0
291,0.0161242784585626,7,0.074763120622523,0.88,COMPLETE,4.0
384,0.0020940138873937,6,0.1256277350380703,0.8571428571428571,COMPLETE,5.0
337,0.0640786626185101,5,0.3489018845491387,0.88,COMPLETE,6.0
378,0.0012790390175145,8,0.0324767357062744,0.8571428571428571,COMPLETE,7.0
219,0.1525506574511737,10,2.661901888489056,0.8461538461538461,COMPLETE,8.0
291,0.0016778242384077,8,0.209149813290356,0.875,COMPLETE,9.0
484,0.0068698663358965,6,0.0113210218042303,0.88,COMPLETE,10.0
463,0.0094230289581507,7,0.0419271744487136,0.88,COMPLETE,11.0
435,0.0186000022189104,6,0.0619008463187593,0.88,COMPLETE,12.0
266,0.0047038067935003,5,0.0126130575861822,0.8571428571428571,COMPLETE,13.0
407,0.0194603873527793,7,0.0846965694115198,0.8461538461538461,COMPLETE,14.0
322,0.0036917800382501,5,0.0262984820874057,0.875,COMPLETE,15.0
437,0.0398855366429834,8,0.8597726148544388,0.84,COMPLETE,16.0
495,0.0112336259254384,10,0.1499182769844068,0.8627450980392157,COMPLETE,17.0
207,0.004304394915754,7,0.0216734651097733,0.8571428571428571,COMPLETE,18.0
284,0.0267169544101561,4,0.0642059048398684,0.88,COMPLETE,19.0
424,0.0066924345457079,9,0.3546065471624582,0.8627450980392157,COMPLETE,20.0
342,0.0720474926528063,5,0.3676494680211873,0.88,COMPLETE,21.0
335,0.0793404794725609,5,0.7826569612616489,0.8571428571428571,COMPLETE,22.0
355,0.0801156090478269,6,0.2261151766533806,0.84,COMPLETE,23.0
307,0.0354175557168688,5,0.1031381631374225,0.8979591836734694,COMPLETE,24.0
299,0.0300807519082882,4,0.1054467409722516,0.88,COMPLETE,25.0
251,0.0162661189241068,7,0.0485881947080771,0.8627450980392157,COMPLETE,26.0
277,0.0118681833577042,6,0.0170747704762651,0.88,COMPLETE,27.0
360,0.0029980865308264,5,0.0716054258342856,0.8979591836734694,COMPLETE,28.0
462,0.0027437160098677,5,0.034902096500636,0.88,COMPLETE,29.0
