n_estimators,num_leaves,max_depth,learning_rate,subsample,colsample_bytree,score,state,trial_number
244,244,12,0.023852347578447,0.6624074561769746,0.662397808134481,0.8461538461538461,COMPLETE,0.0
164,223,9,0.0425888821029008,0.608233797718321,0.9879639408647978,0.8301886792452831,COMPLETE,1.0
358,66,2,0.0026425260575499,0.721696897183815,0.8099025726528951,0.8421052631578947,COMPLETE,2.0
258,85,10,0.0020940138873937,0.7168578594140872,0.7465447373174766,0.847457627118644,COMPLETE,3.0
264,204,2,0.0152499657252135,0.836965827544817,0.6185801650879991,0.8461538461538461,COMPLETE,4.0
302,56,0,0.1525506574511737,0.9862528132298236,0.9233589392465844,0.8461538461538461,COMPLETE,5.0
226,38,11,0.0102992142046019,0.6488152939379115,0.798070764044508,0.8461538461538461,COMPLETE,6.0
158,234,3,0.0334567421369682,0.7246844304357644,0.8080272084711243,0.8627450980392157,COMPLETE,7.0
287,59,16,0.0607580570276163,0.9757995766256756,0.9579309401710596,0.8461538461538461,COMPLETE,8.0
300,237,0,0.0028246357083904,0.6180909155642152,0.7301321323053057,0.8421052631578947,COMPLETE,9.0
155,152,5,0.00628223683854,0.8443228109006988,0.8760988294276582,0.8363636363636363,COMPLETE,10.0
197,120,6,0.0010723092606382,0.7577990966793821,0.7580496333659059,0.8064516129032258,COMPLETE,11.0
351,114,8,0.101838040168021,0.7209700478807324,0.8470009417245111,0.8461538461538461,COMPLETE,12.0
204,171,4,0.005500420946652,0.7874820875551369,0.7097939893129923,0.8363636363636363,COMPLETE,13.0
385,100,13,0.0304573117346971,0.7019796076799771,0.7826173426603852,0.8461538461538461,COMPLETE,14.0
193,188,9,0.0012161497376324,0.8762695696311744,0.6880573168944814,0.8064516129032258,COMPLETE,15.0
327,88,15,0.0137800143655095,0.7710738430416626,0.8604911724169199,0.8301886792452831,COMPLETE,16.0
254,145,3,0.0722635451850242,0.9146511487079996,0.7484240957869853,0.8301886792452831,COMPLETE,17.0
217,85,7,0.0032403627597386,0.6704898180755535,0.6374492808882167,0.847457627118644,COMPLETE,18.0
173,18,-1,0.0073310618585721,0.737415887737509,0.9063203453891578,0.8518518518518519,COMPLETE,19.0
176,21,-1,0.0076870587944358,0.807295322721045,0.9117772967102288,0.8301886792452831,COMPLETE,20.0
181,16,1,0.0017691276700712,0.7415604320542385,0.8300406122873741,0.8064516129032258,COMPLETE,21.0
152,41,-1,0.0045252554428477,0.6949703596597416,0.898455323922507,0.847457627118644,COMPLETE,22.0
228,127,10,0.0210083692657707,0.7447773668350955,0.7733935730354768,0.8301886792452831,COMPLETE,23.0
173,171,4,0.0018456612052052,0.7993215917523222,0.9472908016985484,0.8064516129032258,COMPLETE,24.0
239,78,6,0.0100140409520559,0.6827361197130447,0.824798469798005,0.8461538461538461,COMPLETE,25.0
212,103,13,0.0362665108031212,0.6372206838044818,0.7188648502115148,0.88,COMPLETE,26.0
205,207,14,0.042147772892633,0.6333725482072804,0.6928480182811431,0.88,COMPLETE,27.0
211,219,15,0.0418381138434681,0.6333198897491651,0.6895364528785679,0.8461538461538461,COMPLETE,28.0
193,255,13,0.0244547259848137,0.6462113691645903,0.6715657576072513,0.8461538461538461,COMPLETE,29.0
