h1,h2,alpha,learning_rate_init,score,state,trial_number
136,124,0.0015702970884055,0.0015751320499779,0.847457627118644,COMPLETE,0.0
94,47,1.493656855461762e-05,0.0053994844097874,0.8076923076923077,COMPLETE,1.0
180,100,1.1527987128232396e-05,0.0087060208783048,0.7346938775510204,COMPLETE,2.0
224,52,3.511356313970405e-05,0.0002327067708383,0.55,COMPLETE,3.0
122,82,0.0001976218934028,0.0003823475224675,0.8064516129032258,COMPLETE,4.0
182,45,7.52374288453485e-05,0.0005404103854647,0.7857142857142857,COMPLETE,5.0
152,108,3.972110727381908e-05,0.0010677482709481,0.8,COMPLETE,6.0
178,36,0.0006647135865318,0.0002193048555664,0.8064516129032258,COMPLETE,7.0
76,124,0.0078867141299904,0.004138040112561,0.7843137254901961,COMPLETE,8.0
122,41,0.0011290133559092,0.0007591104805282,0.8275862068965517,COMPLETE,9.0
246,77,0.0037714070968633,0.0019036906911441,0.8620689655172413,COMPLETE,10.0
244,70,0.0042455820078401,0.0018877457901429,0.8076923076923077,COMPLETE,11.0
215,79,0.0018044407522029,0.0021868292337754,0.8363636363636363,COMPLETE,12.0
141,128,0.0026034770181469,0.0017340750366137,0.847457627118644,COMPLETE,13.0
255,96,0.0004415893278716,0.0028827977387006,0.8076923076923077,COMPLETE,14.0
208,63,0.0096867244379754,0.0009819347379144,0.8,COMPLETE,15.0
117,86,0.003796655565264,0.0012774135799436,0.819672131147541,COMPLETE,16.0
163,111,0.0002062483593181,0.0040497123635212,0.8620689655172413,COMPLETE,17.0
232,113,0.0002054672997001,0.0098992538788164,0.8076923076923077,COMPLETE,18.0
195,61,0.0002434132837426,0.0038565617899259,0.8076923076923077,COMPLETE,19.0
101,93,8.166406701047121e-05,0.0061882485710435,0.8571428571428571,COMPLETE,20.0
86,95,9.784845585233704e-05,0.0052215522776478,0.8064516129032258,COMPLETE,21.0
66,111,0.0001044671837877,0.0059437955096389,0.8301886792452831,COMPLETE,22.0
154,88,0.0006283486783671,0.0001101100938924,0.8064516129032258,COMPLETE,23.0
105,75,3.623015136089964e-05,0.0028470344528146,0.8363636363636363,COMPLETE,24.0
165,102,0.0001516881321473,0.0028588704862428,0.8148148148148148,COMPLETE,25.0
200,117,0.0003813327717293,0.0060566770620683,0.8,COMPLETE,26.0
108,91,5.890074892732693e-05,0.0039170343303574,0.84,COMPLETE,27.0
133,69,0.0008414491159313,0.0080095209097571,0.8076923076923077,COMPLETE,28.0
143,105,2.090189190741208e-05,0.002199933254116,0.8064516129032258,COMPLETE,29.0
