n_estimators,max_depth,min_samples_split,min_samples_leaf,score,state,trial_number
225,18,8,3,0.8064516129032258,COMPLETE,0.0
163,6,2,4,0.8064516129032258,COMPLETE,1.0
288,14,2,4,0.8064516129032258,COMPLETE,2.0
353,7,3,1,0.8333333333333334,COMPLETE,3.0
205,11,5,2,0.8064516129032258,COMPLETE,4.0
291,6,4,2,0.8064516129032258,COMPLETE,5.0
248,15,3,3,0.8064516129032258,COMPLETE,6.0
286,4,7,1,0.8064516129032258,COMPLETE,7.0
138,18,10,4,0.8064516129032258,COMPLETE,8.0
205,5,8,2,0.8064516129032258,COMPLETE,9.0
385,9,5,1,0.8421052631578947,COMPLETE,10.0
389,9,5,1,0.8421052631578947,COMPLETE,11.0
392,9,6,1,0.8421052631578947,COMPLETE,12.0
349,9,5,1,0.8421052631578947,COMPLETE,13.0
399,11,6,2,0.8064516129032258,COMPLETE,14.0
342,9,4,1,0.8421052631578947,COMPLETE,15.0
317,13,5,1,0.8214285714285714,COMPLETE,16.0
378,8,7,3,0.8064516129032258,COMPLETE,17.0
322,12,10,2,0.8064516129032258,COMPLETE,18.0
368,10,4,1,0.8421052631578947,COMPLETE,19.0
317,15,7,2,0.8064516129032258,COMPLETE,20.0
387,9,6,1,0.8421052631578947,COMPLETE,21.0
374,8,5,1,0.8620689655172413,COMPLETE,22.0
359,7,5,1,0.8333333333333334,COMPLETE,23.0
337,7,3,1,0.8333333333333334,COMPLETE,24.0
399,10,4,2,0.8064516129032258,COMPLETE,25.0
370,8,6,1,0.8620689655172413,COMPLETE,26.0
371,5,8,2,0.8064516129032258,COMPLETE,27.0
268,8,6,1,0.8620689655172413,COMPLETE,28.0
259,8,9,3,0.8064516129032258,COMPLETE,29.0
