batch_size,virtual_batch_size,n_d,n_a,n_steps,gamma,lambda_sparse,momentum,learning_rate,score,state,trial_number
512,128,8,56,6,1.7080725777960457,1.2087541473056965e-06,0.3882648423431778,0.0259594255031126,0.43243243243243246,COMPLETE,0.0
256,256,24,40,3,1.2921446485352182,2.9204338471814107e-05,0.187867293844644,0.0215769674558968,0.6222222222222222,COMPLETE,1.0
1024,256,8,64,8,1.8083973481164612,1.6536937182824424e-05,0.0480921244624897,0.0145375555761619,0.6538461538461539,COMPLETE,2.0
1024,256,48,24,6,1.5467102793432796,5.4880470007660465e-06,0.3881380048281778,0.0207456676567525,0.32432432432432434,COMPLETE,3.0
256,128,8,24,5,1.2713490317738958,0.0020651425578959,0.1491337974104998,0.003001230180898,0.7868852459016393,COMPLETE,4.0
1024,256,16,8,7,1.7068573438476171,0.0008241925264876,0.3107954352075188,0.0013359790328445,0.0,COMPLETE,5.0
1024,128,24,24,7,1.6375574713552132,0.0035387588647792,0.1941638208131602,0.0015965665886173,0.46153846153846156,COMPLETE,6.0
512,128,32,8,3,1.031429185686734,0.000351270472627,0.1325988326197674,0.0073121711727864,0.5365853658536586,COMPLETE,7.0
256,128,24,16,8,1.808120379564417,0.0003416764341832,0.3498696301732099,0.0231960882292936,0.14285714285714285,COMPLETE,8.0
512,256,8,16,5,1.8180147659224932,0.002772824182801,0.0127113309071643,0.0073746998098167,0.4444444444444444,COMPLETE,9.0
256,512,64,40,4,1.3300916285272388,0.0076515048995455,0.2738632280996842,0.0027663075914831,0.07692307692307693,COMPLETE,10.0
256,512,8,64,5,1.9931895935115531,4.4828930567050376e-05,0.0567227661142771,0.0037064883253052,0.2222222222222222,COMPLETE,11.0
1024,128,48,48,8,1.3284809731415708,1.0260810890073638e-05,0.0942014299885076,0.0469780968734547,0.6792452830188679,COMPLETE,12.0
1024,128,48,48,4,1.2951782400581533,0.0001667122913581,0.1291114343297135,0.0496155158263634,0.7083333333333334,COMPLETE,13.0
256,128,48,32,4,1.1067868321373089,0.0001212143404583,0.1496370284629499,0.003664452724765,0.14814814814814814,COMPLETE,14.0
1024,128,64,48,4,1.2071590445531066,0.0010386211899504,0.2476113829220999,0.0113100929212437,0.24242424242424243,COMPLETE,15.0
256,128,40,32,5,1.5097137095890791,0.0001277368303627,0.1340407271379888,0.0022171910523902,0.6976744186046512,COMPLETE,16.0
256,512,56,48,4,1.43609983357228,0.0012888301331926,0.2337388923271809,0.0461586922863996,0.0,COMPLETE,17.0
1024,128,40,24,3,1.1755844519134984,0.0089764428518269,0.0992594839936712,0.0050330179392634,0.3225806451612903,COMPLETE,18.0
512,128,32,56,6,1.393109605254417,0.0003135409900615,0.1730800920900089,0.0107874582070746,0.36363636363636365,COMPLETE,19.0
1024,512,56,32,5,1.2400784928737374,5.353830161508154e-05,0.099764765099109,0.0017732040410997,0.0,COMPLETE,20.0
256,128,40,32,5,1.5311722628160156,0.0001373068712175,0.1365345957938277,0.0022798236544721,0.6976744186046512,COMPLETE,21.0
256,128,40,40,4,1.442014842418096,0.0001687746253124,0.1560125779661186,0.0011691440796699,0.8064516129032258,COMPLETE,22.0
256,128,56,40,4,1.43778888506672,0.0004608065000975,0.1671138257854345,0.0011297571956895,0.47058823529411764,COMPLETE,23.0
256,128,32,56,4,1.086816054137805,0.0027343752046892,0.2153088494450406,0.0047840266164704,0.2777777777777778,COMPLETE,24.0
256,128,48,48,3,1.2701690891827837,6.850809391608208e-05,0.0781225977701046,0.0010636623854477,0.7924528301886793,COMPLETE,25.0
256,128,16,40,3,1.1631460200373034,3.660622236083781e-06,0.0693946321178423,0.0010694445003272,0.42105263157894735,COMPLETE,26.0
256,128,40,24,3,1.4196592513525756,6.276713729104383e-05,0.0154706586252883,0.0015839753231272,0.3225806451612903,COMPLETE,27.0
256,512,16,40,3,1.611736628539919,2.773184444949885e-05,0.0813666592396106,0.0027452875823137,0.42105263157894735,COMPLETE,28.0
512,128,56,16,6,1.0033984486382574,2.0650560495835664e-06,0.1075510041147193,0.0010157930044019,0.7636363636363637,COMPLETE,29.0
256,128,32,56,5,1.3590926718301437,0.0017628399880622,0.0398779021382306,0.0020248692301528,0.07142857142857142,COMPLETE,30.0
512,128,56,16,7,1.0264497881560797,2.180708885487959e-06,0.1089576692592315,0.0010047019562432,0.7719298245614035,COMPLETE,31.0
512,128,48,16,7,1.2691128168352748,1.1608640886062652e-06,0.1597219826965704,0.0013887945116288,0.0,COMPLETE,32.0
512,128,64,8,7,1.108233619678079,9.233034681068851e-06,0.1137049265825856,0.0013661796490817,0.8064516129032258,COMPLETE,33.0
512,256,40,8,6,1.2270914326280444,1.0078062646789168e-05,0.1994839719699659,0.0013389120895544,0.7666666666666667,COMPLETE,34.0
256,128,64,48,3,1.110909928705073,2.3774567596796112e-05,0.1794032775311698,0.0029133531540018,0.07692307692307693,COMPLETE,35.0
512,256,24,8,4,1.1555438138083838,1.050724510869104e-05,0.0715825267614988,0.0018449517173918,0.7017543859649122,COMPLETE,36.0
256,128,64,24,7,1.4639024116796462,0.0006855379806768,0.2156357825500203,0.0013065504782705,0.7586206896551724,COMPLETE,37.0
256,128,48,64,8,1.2836245140572176,6.905590948029649e-05,0.0429396913524582,0.0015369634022285,0.5238095238095238,COMPLETE,38.0
512,256,32,40,6,1.5888900372404715,0.0001884823984094,0.1532769577064919,0.0024006780242515,0.5652173913043478,COMPLETE,39.0
256,128,24,32,5,1.3774725666796184,1.6723844174387652e-05,0.1172959105566514,0.0037291136999256,0.07692307692307693,COMPLETE,40.0
512,128,56,16,7,1.0564883937890692,2.3128481673936213e-06,0.1188172825938568,0.0010082319077925,0.7719298245614035,COMPLETE,41.0
512,128,56,8,7,1.0628583023419649,6.047079422703824e-06,0.1451351779527379,0.0013705149268318,0.6666666666666666,COMPLETE,42.0
