dataset,dataset_order,task,model,model_family,primary_score,dataset_rank,gap_to_best_pct,score_norm_within_dataset,win_flag,top2_flag,model_mean_rank,model_mean_gap_pct,alpha,colsample_bytree,depth,gamma,iterations,l2_leaf_reg,lambda_sparse,learning_rate,learning_rate_init,max_depth,min_samples_leaf,min_samples_split,mlp_h1,mlp_h2,n_a,n_d,n_estimators,n_steps,num_leaves,subsample
drybean,0,classification,mlp,neural,0.7664142488442667,6.0,22.342763462242576,0.0,0,0,5.166666666666667,13.291711097560132,2.6087863453193185e-05,,,,,,,,0.0012890062621984,,,,231.0,70.0,,,,,,
mnist,1,classification,mlp,neural,0.997221686282076,6.0,0.277831371792403,0.0,0,0,5.166666666666667,13.291711097560132,0.0039011663045602,,,,,,,,0.0053176740028311,,,,98.0,65.0,,,,,,
telco,2,classification,mlp,neural,0.6067415730337079,5.0,31.357559379889057,0.6864244062011094,0,0,5.166666666666667,13.291711097560132,0.0078867141299904,,,,,,,,0.004138040112561,,,,124.0,76.0,,,,,,
titanic,3,classification,mlp,neural,0.8064516129032258,5.0,19.354838709677423,0.0,0,0,5.166666666666667,13.291711097560132,0.0037714070968633,,,,,,,,0.0019036906911441,,,,246.0,77.0,,,,,,
diamonds_v2,4,regression,mlp,neural,0.9918607273617118,4.0,0.8106796644001363,0.399685000239448,0,0,5.166666666666667,13.291711097560132,0.0038440414008786,,,,,,,,0.003904285447226,,,,155.0,116.0,,,,,,
diamonds_v3,5,regression,mlp,neural,0.943916512742327,5.0,5.6065939973592,0.6776366378754677,0,0,5.166666666666667,13.291711097560132,4.461816688644505e-05,,,,,,,,0.0031396590783417,,,,233.0,61.0,,,,,,
drybean,0,classification,tabnet,neural,0.8389063785132873,5.0,14.997468839494996,0.32875497407294857,0,0,3.8333333333333335,8.831191288177564,,,,1.2921446485352182,,,2.9204338471814107e-05,0.0215769674558968,,,,,,,40.0,24.0,,3.0,,
mnist,1,classification,tabnet,neural,1.0,1.0,0.0,1.0,1,1,3.8333333333333335,8.831191288177564,,,,1.6574723407434089,,,0.0015561306412447,0.041797877465741,,,,,,,64.0,16.0,,3.0,,
telco,2,classification,tabnet,neural,0.8839160839160839,1.0,0.0,1.0,1,1,3.8333333333333335,8.831191288177564,,,,1.2921446485352182,,,2.9204338471814107e-05,0.0215769674558968,,,,,,,40.0,24.0,,3.0,,
titanic,3,classification,tabnet,neural,0.8064516129032258,5.0,19.354838709677423,0.0,0,0,3.8333333333333335,8.831191288177564,,,,1.442014842418096,,,0.0001687746253124,0.0011691440796699,,,,,,,40.0,40.0,,4.0,,
diamonds_v2,4,regression,tabnet,neural,0.9875408272062348,5.0,1.2426838243784912,0.0797823449953921,0,0,3.8333333333333335,8.831191288177564,,,,1.148092057267047,,,0.0003759825417556,0.012170668949596,,,,,,,48.0,48.0,,3.0,,
diamonds_v3,5,regression,tabnet,neural,0.8260630800406197,6.0,17.392156355514476,0.0,0,0,3.8333333333333335,8.831191288177564,,,,1.5831780042523658,,,1.6398364006746912e-05,0.0272622557418312,,,,,,,32.0,64.0,,3.0,,
drybean,0,classification,catboost,tree,0.9859140673080038,2.0,0.1018547785407693,0.9954412631762004,0,1,2.5,5.402555854130232,,,8.0,,429.0,0.0115542217801539,,0.0469459503425595,,,,,,,,,,,,
mnist,1,classification,catboost,tree,1.0,1.0,0.0,1.0,1,1,2.5,5.402555854130232,,,5.0,,462.0,1.5033819282269176,,0.0851423521807459,,,,,,,,,,,,
telco,2,classification,catboost,tree,0.6068759342301944,4.0,31.34235870655238,0.6865764129344762,0,0,2.5,5.402555854130232,,,7.0,,364.0,0.4737772386034826,,0.0186000022189104,,,,,,,,,,,,
titanic,3,classification,catboost,tree,1.0,1.0,0.0,1.0,1,1,2.5,5.402555854130232,,,5.0,,307.0,0.1031381631374225,,0.0354175557168688,,,,,,,,,,,,
diamonds_v2,4,regression,catboost,tree,0.9952387861258134,3.0,0.4728627273829702,0.6498412374933208,0,0,2.5,5.402555854130232,,,4.0,,355.0,0.0153932485357104,,0.1886494916685864,,,,,,,,,,,,
diamonds_v3,5,regression,catboost,tree,0.994998913977732,4.0,0.49825891230527225,0.9713515160443408,0,0,2.5,5.402555854130232,,,6.0,,342.0,0.0161801531843981,,0.0802505500235678,,,,,,,,,,,,
drybean,0,classification,lgbm,tree,0.9869192917670092,1.0,0.0,1.0,1,1,2.6666666666666665,4.804968637687033,,0.951800318355228,,,,,,0.0498387039139542,,16.0,,,,,,,177.0,,159.0,0.672668447218228
mnist,1,classification,lgbm,tree,1.0,1.0,0.0,1.0,1,1,2.6666666666666665,4.804968637687033,,0.6968499026400689,,,,,,0.1020977541613615,,6.0,,,,,,,200.0,,16.0,0.8185216515388213
telco,2,classification,lgbm,tree,0.697274031563845,2.0,21.115358770862468,0.7888464122913753,0,1,2.6666666666666665,4.804968637687033,,0.9178581456448356,,,,,,0.1022686228930273,,4.0,,,,,,,391.0,,181.0,0.8647080858469188
titanic,3,classification,lgbm,tree,0.9411764705882352,3.0,5.882352941176483,0.6960784313725484,0,0,2.6666666666666665,4.804968637687033,,0.7188648502115148,,,,,,0.0362665108031212,,13.0,,,,,,,212.0,,103.0,0.6372206838044818
diamonds_v2,4,regression,lgbm,tree,0.98646346270519,6.0,1.3504238020430814,0.0,0,0,2.6666666666666665,4.804968637687033,,0.869338681861774,,,,,,0.0965946855659859,,9.0,,,,,,,202.0,,202.0,0.910597753596865
diamonds_v3,5,regression,lgbm,tree,0.9951647368977568,3.0,0.4816763120401643,0.9723049688495101,0,0,2.6666666666666665,4.804968637687033,,0.9056742027196292,,,,,,0.1973092652419889,,6.0,,,,,,,396.0,,136.0,0.998320875145006
drybean,0,classification,rf,tree,0.9516944210458108,4.0,3.5691744010931994,0.8402536728670645,0,0,2.8333333333333335,18.776680582000377,,,,,,,,,,15.0,3.0,5.0,,,,,371.0,,,
mnist,1,classification,rf,tree,1.0,1.0,0.0,1.0,1,1,2.8333333333333335,18.776680582000377,,,,,,,,,,18.0,1.0,9.0,,,,,236.0,,,
telco,2,classification,rf,tree,0.0,6.0,100.0,0.0,0,0,2.8333333333333335,18.776680582000377,,,,,,,,,,18.0,3.0,8.0,,,,,225.0,,,
titanic,3,classification,rf,tree,0.9090909090909092,4.0,9.090909090909083,0.5303030303030308,0,0,2.8333333333333335,18.776680582000377,,,,,,,,,,8.0,1.0,5.0,,,,,374.0,,,
diamonds_v2,4,regression,rf,tree,0.9999672585776604,1.0,0.0,1.0,1,1,2.8333333333333335,18.776680582000377,,,,,,,,,,9.0,2.0,4.0,,,,,342.0,,,
diamonds_v3,5,regression,rf,tree,0.9999814104768288,1.0,0.0,1.0,1,1,2.8333333333333335,18.776680582000377,,,,,,,,,,9.0,2.0,4.0,,,,,377.0,,,
drybean,0,classification,xgboost,tree,0.9678056680161944,3.0,1.936695726820096,0.9133188815209474,0,0,2.1666666666666665,6.090721572915434,,0.9281889012746768,,,,,,0.0297945266290316,,9.0,,,,,,,286.0,,,0.9023968915894506
mnist,1,classification,xgboost,tree,1.0,1.0,0.0,1.0,1,1,2.1666666666666665,6.090721572915434,,0.7507983883065513,,,,,,0.1132881941039055,,8.0,,,,,,,294.0,,,0.6526851851437103
telco,2,classification,xgboost,tree,0.6133720930232558,3.0,30.607429349425963,0.6939257065057404,0,0,2.1666666666666665,6.090721572915434,,0.991442309779317,,,,,,0.0349095689689243,,3.0,,,,,,,246.0,,,0.8759016448768311
titanic,3,classification,xgboost,tree,0.96,2.0,4.0000000000000036,0.7933333333333332,0,1,2.1666666666666665,6.090721572915434,,0.8141978064593092,,,,,,0.0068998672833759,,7.0,,,,,,,301.0,,,0.6840186511899223
