dataset,dataset_order,task,model,model_family,primary_score,dataset_rank,gap_to_best_pct,score_norm_within_dataset,win_flag,top2_flag,model_mean_rank,model_mean_gap_pct,alpha,colsample_bytree,depth,gamma,iterations,l2_leaf_reg,lambda_sparse,learning_rate,learning_rate_init,max_depth,min_samples_leaf,min_samples_split,mlp_h1,mlp_h2,n_a,n_d,n_estimators,n_steps,num_leaves,subsample
drybean,0,classification,mlp,neural,0.7664142488442667,6.0,22.342763462242576,0.0,0,0,5.166666666666667,13.291711097560132,2.6087863453193185e-05,,,,,,,,0.0012890062621984,,,,231.0,70.0,,,,,,
mnist,1,classification,mlp,neural,0.997221686282076,6.0,0.277831371792403,0.0,0,0,5.166666666666667,13.291711097560132,0.0039011663045602,,,,,,,,0.0053176740028311,,,,98.0,65.0,,,,,,
telco,2,classification,mlp,neural,0.6067415730337079,5.0,31.357559379889057,0.6864244062011094,0,0,5.166666666666667,13.291711097560132,0.0078867141299904,,,,,,,,0.004138040112561,,,,124.0,76.0,,,,,,
titanic,3,classification,mlp,neural,0.8064516129032258,5.0,19.354838709677423,0.0,0,0,5.166666666666667,13.291711097560132,0.0037714070968633,,,,,,,,0.0019036906911441,,,,246.0,77.0,,,,,,
diamonds_v2,4,regression,mlp,neural,0.9918607273617118,4.0,0.8106796644001363,0.399685000239448,0,0,5.166666666666667,13.291711097560132,0.0038440414008786,,,,,,,,0.003904285447226,,,,155.0,116.0,,,,,,
diamonds_v3,5,regression,mlp,neural,0.943916512742327,5.0,5.6065939973592,0.6776366378754677,0,0,5.166666666666667,13.291711097560132,4.461816688644505e-05,,,,,,,,0.0031396590783417,,,,233.0,61.0,,,,,,
drybean,0,classification,tabnet,neural,0.8389063785132873,5.0,14.997468839494996,0.32875497407294857,0,0,3.8333333333333335,8.831191288177564,,,,1.2921446485352182,,,2.9204338471814107e-05,0.0215769674558968,,,,,,,40.0,24.0,,3.0,,
mnist,1,classification,tabnet,neural,1.0,1.0,0.0,1.0,1,1,3.8333333333333335,8.831191288177564,,,,1.6574723407434089,,,0.0015561306412447,0.041797877465741,,,,,,,64.0,16.0,,3.0,,
telco,2,classification,tabnet,neural,0.8839160839160839,1.0,0.0,1.0,1,1,3.8333333333333335,8.831191288177564,,,,1.2921446485352182,,,2.9204338471814107e-05,0.0215769674558968,,,,,,,40.0,24.0,,3.0,,
titanic,3,classification,tabnet,neural,0.8064516129032258,5.0,19.354838709677423,0.0,0,0,3.8333333333333335,8.831191288177564,,,,1.442014842418096,,,0.0001687746253124,0.0011691440796699,,,,,,,40.0,40.0,,4.0,,
diamonds_v2,4,regression,tabnet,neural,0.9875408272062348,5.0,1.2426838243784912,0.0797823449953921,0,0,3.8333333333333335,8.831191288177564,,,,1.148092057267047,,,0.0003759825417556,0.012170668949596,,,,,,,48.0,48.0,,3.0,,
diamonds_v3,5,regression,tabnet,neural,0.8260630800406197,6.0,17.392156355514476,0.0,0,0,3.8333333333333335,8.831191288177564,,,,1.5831780042523658,,,1.6398364006746912e-05,0.0272622557418312,,,,,,,32.0,64.0,,3.0,,
