model,mean_delta,std_delta,panel,scenario
catboost,-0.010474718336241945,0.012142173448127095,performance,missingness
catboost,-12.23445516934217,8.28767526585131,train_time_pct,missingness
catboost,0.1265569045054583,0.4405934979189901,model_size_pct,missingness
catboost,9.0,0.816496580927726,shap_overlap,missingness
lgbm,0.0005257580045806565,0.005771226583500834,performance,missingness
lgbm,1.965965217873558,41.265315555107456,train_time_pct,missingness
lgbm,1.8684336625197933,1.6916247341651678,model_size_pct,missingness
lgbm,9.0,0.0,shap_overlap,missingness
rf,0.0011121592135078795,0.01883683257002088,performance,missingness
rf,0.4330591344528214,3.8514481861967718,train_time_pct,missingness
rf,0.5898610823101268,1.8603413964888424,model_size_pct,missingness
rf,9.0,1.4142135623730951,shap_overlap,missingness
xgboost,-0.004450879784020201,0.005319706293815328,performance,missingness
xgboost,-4.672757614809742,8.057363203040723,train_time_pct,missingness
xgboost,0.41526670669580196,2.381476660108477,model_size_pct,missingness
xgboost,9.0,0.816496580927726,shap_overlap,missingness
mlp,-0.008485115760622525,0.013778386580429798,performance,missingness
mlp,-7.882906694553931,18.737864317347512,train_time_pct,missingness
mlp,-0.026519004626969718,0.05303800925393944,model_size_pct,missingness
mlp,7.0,3.559026084010437,shap_overlap,missingness
tabnet,0.0364465570265603,0.14005531987228836,performance,missingness
tabnet,-39.68293103174805,33.804009336791125,train_time_pct,missingness
tabnet,-0.003189322149440348,0.006378644298880696,model_size_pct,missingness
tabnet,6.25,3.8622100754188224,shap_overlap,missingness
apt,0.012431162376916697,0.10114053454682273,performance,missingness
apt,,,train_time_pct,missingness
apt,0.0,0.0,model_size_pct,missingness
apt,0.0,0.0,shap_overlap,missingness
tabpfn,-0.010705884678487468,0.009530397113740463,performance,missingness
tabpfn,,,train_time_pct,missingness
tabpfn,4.837715083349721,8.379168316904023,model_size_pct,missingness
tabpfn,0.0,0.0,shap_overlap,missingness
