model,mean_delta,std_delta,panel,scenario
apt,0.08000000000000003,0.09165151389911676,performance,high_cardinality
catboost,-0.010821860614286777,0.022011994790819688,performance,high_cardinality
lgbm,-0.008810690032371588,0.006368337154061971,performance,high_cardinality
mlp,-0.019381710429325794,0.03789958271707141,performance,high_cardinality
rf,-0.009797418432642091,0.013738480298601627,performance,high_cardinality
tabnet,0.02252253844355917,0.04675136493521867,performance,high_cardinality
tabpfn,-0.3,0.5047771785649585,performance,high_cardinality
apt,,,train_time_pct,high_cardinality
catboost,1.105963914823688,14.713258845055911,train_time_pct,high_cardinality
lgbm,2.119808236061507,44.442518643500875,train_time_pct,high_cardinality
mlp,493.1760373529217,439.7022396019529,train_time_pct,high_cardinality
rf,15.441046709243157,8.151025463353843,train_time_pct,high_cardinality
tabnet,-46.61872415516974,31.79957021755551,train_time_pct,high_cardinality
tabpfn,,,train_time_pct,high_cardinality
apt,0.0,0.0,model_size_pct,high_cardinality
catboost,0.8088259064548462,0.8183071085411132,model_size_pct,high_cardinality
lgbm,-1.8781347456838602,1.8999018504631722,model_size_pct,high_cardinality
mlp,1529.8243108739177,2119.277509466066,model_size_pct,high_cardinality
rf,-0.4343187239930927,0.5393178357464355,model_size_pct,high_cardinality
tabnet,0.7604047511975804,0.13934185055544973,model_size_pct,high_cardinality
tabpfn,4.837876602131011,8.379028441038953,model_size_pct,high_cardinality
catboost,9.25,0.957427107756338,shap_overlap,high_cardinality
lgbm,8.5,0.7071067811865476,shap_overlap,high_cardinality
mlp,5.0,2.449489742783178,shap_overlap,high_cardinality
rf,8.25,0.9574271077563381,shap_overlap,high_cardinality
tabnet,5.5,3.1091263510296048,shap_overlap,high_cardinality
