model,metric,clean_mean,shift_mean,delta_shift_minus_clean,n_datasets
catboost,accuracy,0.9329976542505447,0.7159977028591702,-0.2169999513913745,3
rf,accuracy,0.8502537794108113,0.7044691617952076,-0.14578461761560368,3
mlp,accuracy,0.7477567660456036,0.6769705228818115,-0.07078624316379212,3
tabnet,accuracy,0.8185730401412554,0.695784901691986,-0.12278813844926939,3
tabpfn,accuracy,0.7989189189189189,0.626936936936937,-0.1719819819819819,3
apt,accuracy,0.6375675675675677,0.5932432432432432,-0.04432432432432454,3
catboost,f1,0.864263333846066,0.6211442369106684,-0.24311909693539757,3
rf,f1,0.62026177671224,0.47409846583735876,-0.14616331087488127,3
mlp,f1,0.7265358115937334,0.6368359726946563,-0.08969983889907707,3
tabnet,f1,0.843091358444199,0.6711669868958271,-0.17192437154837192,3
tabpfn,f1,0.7875987841945289,0.5620836127878381,-0.22551517140669075,3
apt,f1,0.4813925570228091,0.4025746646760084,-0.0788178923468007,3
