dataset,model,task,seed,metric_name,test_score,train_score_if_available,status,notes
drybean,rf,classification,0,F1,0.7533651134127531,0.94894223765169,success,fit_elapsed_sec=0.394
drybean,rf,classification,42,F1,0.775602822807197,0.9499477193470552,success,fit_elapsed_sec=0.369
drybean,rf,classification,123,F1,0.7434397315667212,0.9471753997400524,success,fit_elapsed_sec=0.463
drybean,xgboost,classification,0,F1,0.8107724960305888,0.9743454273282384,success,fit_elapsed_sec=0.344
drybean,xgboost,classification,42,F1,0.8208791431290368,0.9745965811761436,success,fit_elapsed_sec=0.336
drybean,xgboost,classification,123,F1,0.7846655328798187,0.9756024966587796,success,fit_elapsed_sec=0.323
drybean,lgbm,classification,0,F1,0.8037782531273696,0.9861662660716416,success,fit_elapsed_sec=2.471
drybean,lgbm,classification,42,F1,0.8198668282465045,0.9864181674090672,success,fit_elapsed_sec=2.429
drybean,lgbm,classification,123,F1,0.7796510833421904,0.9919515066127806,success,fit_elapsed_sec=2.710
drybean,catboost,classification,0,F1,0.7987919419613939,0.9922030018088788,success,fit_elapsed_sec=0.754
drybean,catboost,classification,42,F1,0.8178659682874558,0.992957701931546,success,fit_elapsed_sec=0.660
drybean,catboost,classification,123,F1,0.7997742720780634,0.9934606305618104,success,fit_elapsed_sec=0.615
drybean,mlp,classification,0,F1,0.6612463485881208,0.732642070004645,success,fit_elapsed_sec=1.361
drybean,mlp,classification,42,F1,0.6801071257072255,0.7092885568785117,success,fit_elapsed_sec=1.187
drybean,mlp,classification,123,F1,0.6315838376453844,0.6918686873438005,success,fit_elapsed_sec=0.775
drybean,tabnet,classification,0,F1,0.6398798374706343,0.6580547142631639,success,fit_elapsed_sec=1.887
drybean,tabnet,classification,42,F1,0.6762099986300466,0.6845235207116636,success,fit_elapsed_sec=2.183
drybean,tabnet,classification,123,F1,0.6450655667056577,0.6755954686585868,success,fit_elapsed_sec=1.803
drybean,tabpfn,classification,0,F1,,,skipped,tabpfn is a pretrained/default baseline; repeated random initialization is not applicable. Pass --include-pretrained to rerun context-based fits across split seeds.
drybean,tabpfn,classification,42,F1,,,skipped,tabpfn is a pretrained/default baseline; repeated random initialization is not applicable. Pass --include-pretrained to rerun context-based fits across split seeds.
drybean,tabpfn,classification,123,F1,,,skipped,tabpfn is a pretrained/default baseline; repeated random initialization is not applicable. Pass --include-pretrained to rerun context-based fits across split seeds.
