feature,importance
SeniorCitizen,0.03880987661388895
tenure,0.5123632788410842
MonthlyCharges,0.249331054040241
TotalCharges,0.21405661990184857
customerID_0002-ORFBO,0.00023179167940312628
customerID_0003-MKNFE,1.478890648118039e-05
customerID_0011-IGKFF,0.0
customerID_0013-EXCHZ,0.0
customerID_0013-MHZWF,0.0
customerID_0013-SMEOE,1.590994467230217e-06
customerID_0014-BMAQU,0.0
customerID_0017-DINOC,0.0
customerID_0017-IUDMW,0.0
customerID_0019-EFAEP,0.0
customerID_0020-JDNXP,0.0
customerID_0021-IKXGC,2.3282010467168583e-05
customerID_0022-TCJCI,4.504755266943204e-05
customerID_0023-HGHWL,0.0
customerID_0023-XUOPT,0.0
customerID_0027-KWYKW,0.0
customerID_0030-FNXPP,0.0
customerID_0031-PVLZI,5.718887777874671e-06
customerID_0032-PGELS,0.0
customerID_0036-IHMOT,0.0
customerID_0042-JVWOJ,0.0
customerID_0042-RLHYP,0.0
customerID_0048-LUMLS,0.0
customerID_0048-PIHNL,0.0
customerID_0052-DCKON,0.0
customerID_0052-YNYOT,0.0
customerID_0056-EPFBG,0.0
customerID_0057-QBUQH,0.0
customerID_0060-FUALY,0.0
customerID_0064-SUDOG,0.0
customerID_0067-DKWBL,0.0
customerID_0068-FIGTF,0.0
customerID_0074-HDKDG,0.0
customerID_0078-XZMHT,0.0
customerID_0080-OROZO,0.0
customerID_0082-LDZUE,7.029343172195176e-06
customerID_0082-OQIQY,0.0
customerID_0089-IIQKO,6.135736100525366e-06
customerID_0093-EXYQL,0.0
customerID_0093-XWZFY,0.0
customerID_0094-OIFMO,0.0
customerID_0096-FCPUF,0.0
customerID_0098-BOWSO,0.0
customerID_0100-DUVFC,0.0
customerID_0103-CSITQ,0.0
customerID_0104-PPXDV,0.0
customerID_0106-UGRDO,0.0
customerID_0107-WESLM,0.0
customerID_0107-YHINA,0.0
customerID_0111-KLBQG,0.0
customerID_0112-QAWRZ,0.0
customerID_0112-QWPNC,0.0
customerID_0114-PEGZZ,0.0
customerID_0114-RSRRW,0.0
customerID_0115-TFERT,0.0
customerID_0117-LFRMW,8.668115001000643e-06
customerID_0118-JPNOY,0.0
customerID_0122-OAHPZ,3.5794405513803837e-06
customerID_0125-LZQXK,0.0
customerID_0129-KPTWJ,0.0
customerID_0129-QMPDR,0.0
customerID_0130-SXOUN,0.0
customerID_0133-BMFZO,0.0
customerID_0135-NMXAP,0.0
customerID_0136-IFMYD,0.0
customerID_0137-OCGAB,0.0
customerID_0137-UDEUO,8.811409575148766e-06
customerID_0139-IVFJG,0.0
customerID_0141-YEAYS,0.0
customerID_0142-GVYSN,0.0
customerID_0147-ESWWR,0.0
customerID_0148-DCDOS,0.0
customerID_0151-ONTOV,0.0
customerID_0156-FVPTA,1.9160674459922556e-05
