feature,importance
SeniorCitizen,0.011845611177251279
tenure,0.06841221253039578
MonthlyCharges,0.004600533873297038
TotalCharges,0.009240659955926713
customerID_0002-ORFBO,0.0
customerID_0003-MKNFE,0.0
customerID_0011-IGKFF,0.0
customerID_0013-EXCHZ,0.0
customerID_0013-MHZWF,0.0
customerID_0013-SMEOE,0.0
customerID_0014-BMAQU,0.0
customerID_0017-DINOC,0.0
customerID_0017-IUDMW,0.0
customerID_0019-EFAEP,0.0
customerID_0020-JDNXP,0.0
customerID_0021-IKXGC,0.0
customerID_0022-TCJCI,0.0
customerID_0023-HGHWL,0.0
customerID_0023-XUOPT,0.0
customerID_0027-KWYKW,0.0
customerID_0030-FNXPP,0.0
customerID_0031-PVLZI,0.0
customerID_0032-PGELS,0.0
customerID_0036-IHMOT,0.0
customerID_0042-JVWOJ,0.0
customerID_0042-RLHYP,0.0
customerID_0048-LUMLS,0.0
customerID_0048-PIHNL,0.0
customerID_0052-DCKON,0.0
customerID_0052-YNYOT,0.0
customerID_0056-EPFBG,0.0
customerID_0057-QBUQH,0.0
customerID_0060-FUALY,0.0
customerID_0064-SUDOG,0.0
customerID_0067-DKWBL,0.0
customerID_0068-FIGTF,0.0
customerID_0074-HDKDG,0.0
customerID_0078-XZMHT,0.0
customerID_0080-OROZO,0.0
customerID_0082-LDZUE,0.0
customerID_0082-OQIQY,0.0
customerID_0089-IIQKO,0.0
customerID_0093-EXYQL,0.0
customerID_0093-XWZFY,0.0
customerID_0094-OIFMO,0.0
customerID_0096-FCPUF,0.0
customerID_0098-BOWSO,0.0
customerID_0100-DUVFC,0.0
customerID_0103-CSITQ,0.0
customerID_0104-PPXDV,0.0
customerID_0106-UGRDO,0.0
customerID_0107-WESLM,0.0
customerID_0107-YHINA,0.0
customerID_0111-KLBQG,0.0
customerID_0112-QAWRZ,0.0
customerID_0112-QWPNC,0.0
customerID_0114-PEGZZ,0.0
customerID_0114-RSRRW,0.0
customerID_0115-TFERT,0.0
customerID_0117-LFRMW,0.0
customerID_0118-JPNOY,0.0
customerID_0122-OAHPZ,0.0
customerID_0125-LZQXK,0.0
customerID_0129-KPTWJ,0.0
customerID_0129-QMPDR,0.0
customerID_0130-SXOUN,0.0
customerID_0133-BMFZO,0.0
customerID_0135-NMXAP,0.0
customerID_0136-IFMYD,0.0
customerID_0137-OCGAB,0.0
customerID_0137-UDEUO,0.0
customerID_0139-IVFJG,0.0
customerID_0141-YEAYS,0.0
customerID_0142-GVYSN,0.0
customerID_0147-ESWWR,0.0
customerID_0148-DCDOS,0.0
customerID_0151-ONTOV,0.0
customerID_0156-FVPTA,0.0
customerID_0164-APGRB,0.0
customerID_0164-XAIRP,0.0
customerID_0174-QRVVY,0.0
customerID_0177-PXBAT,0.0
customerID_0178-CIIKR,0.0
customerID_0178-SZBHO,0.0
customerID_0181-RITDD,0.0
customerID_0186-CAERR,0.0
customerID_0187-WZNAB,0.0
customerID_0188-GWFLE,0.0
customerID_0191-ZHSKZ,0.0
customerID_0193-ESZXP,0.0
customerID_0195-IESCP,0.0
customerID_0196-JTUQI,0.0
customerID_0196-VULGZ,0.0
customerID_0197-PNKNK,0.0
customerID_0201-MIBOL,0.0
customerID_0201-OAMXR,0.0
customerID_0203-HHYIJ,0.0
customerID_0206-OYVOC,0.0
customerID_0206-TBWLC,0.0
customerID_0207-MDKNV,0.0
customerID_0208-BPQEJ,0.0
customerID_0212-ISBBF,0.0
customerID_0215-BQKGS,0.0
customerID_0218-QNVAS,0.0
customerID_0219-QAERP,0.0
customerID_0219-YTZUE,0.0
customerID_0220-EBGCE,0.0
customerID_0221-WMXNQ,0.0
customerID_0224-HJAPT,0.0
customerID_0224-NIJLP,0.0
customerID_0224-RLWWD,0.0
customerID_0225-ZORZP,0.0
customerID_0228-MAUWC,0.0
customerID_0229-LFJAF,0.0
customerID_0230-WEQUW,0.0
customerID_0231-LXVAP,0.0
customerID_0233-FTHAV,0.0
customerID_0234-TEVTT,0.0
customerID_0236-HFWSV,0.0
customerID_0237-YFUTL,0.0
customerID_0238-WHBIQ,0.0
customerID_0239-OXEXL,0.0
customerID_0244-LGNFY,0.0
customerID_0247-SLUJI,0.0
customerID_0248-IPDFW,0.0
customerID_0248-PGHBZ,0.0
customerID_0253-ZTEOB,0.0
customerID_0254-FNMCI,0.0
customerID_0254-KCJGT,0.0
customerID_0254-WWRKD,0.0
customerID_0257-KXZGU,0.0
customerID_0257-ZESQC,0.0
customerID_0259-GBZSH,0.0
customerID_0260-ZDLGK,0.0
customerID_0263-FJTQO,0.0
customerID_0264-CNITK,0.0
customerID_0265-EDXBD,0.0
customerID_0265-PSUAE,0.0
customerID_0266-CLZKZ,0.0
customerID_0266-GMEAO,0.0
customerID_0268-QKIWO,0.0
customerID_0269-XFESX,0.0
customerID_0270-THENM,0.0
customerID_0274-JKUJR,0.0
customerID_0277-ORXQS,0.0
customerID_0278-YXOOG,0.0
customerID_0280-XJGEX,0.0
customerID_0282-NVSJS,0.0
customerID_0285-INHLN,0.0
customerID_0289-IVARM,0.0
customerID_0292-WEGCH,0.0
customerID_0295-PPHDO,0.0
customerID_0298-XACET,0.0
customerID_0301-FIDRB,0.0
customerID_0302-JOIVN,0.0
