feature,importance
PassengerId,0.7031341710247017
Pclass,0.00396979482507854
Age,0.7963352369497045
SibSp,0.018060578277096673
Parch,0.037057044580504704
Fare,0.6311960651094913
"Name_Allen, Miss. Elisabeth Walton",0.0
"Name_Allison, Master. Hudson Trevor",0.00016091540459905546
"Name_Allison, Miss. Helen Loraine",0.0020559174445111002
"Name_Anderson, Mr. Harry",0.0039037786706862944
"Name_Andrews, Miss. Kornelia Theodosia",0.0
"Name_Andrews, Mr. Thomas Jr",0.0
"Name_Appleton, Mrs. Edward Dale (Charlotte Lamson)",0.0
"Name_Astor, Mrs. John Jacob (Madeleine Talmadge Force)",0.00032578170062502434
"Name_Aubart, Mme. Leontine Pauline",0.0
"Name_Ball, Mrs. (Ada E Hall)",0.0
"Name_Barkworth, Mr. Algernon Henry Wilson",0.003510559671213438
"Name_Baxter, Mr. Quigg Edmond",0.0018809310717947984
"Name_Baxter, Mrs. James (Helene DeLaudeniere Chaput)",0.0
"Name_Bazzani, Miss. Albina",0.00011114416010077247
"Name_Becker, Master. Richard F",0.0
"Name_Becker, Miss. Marion Louise",0.0
"Name_Beckwith, Mr. Richard Leonard",0.0023416462432427386
"Name_Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",0.0
"Name_Beesley, Mr. Lawrence",0.0
"Name_Behr, Mr. Karl Howell",0.0012516645251262827
"Name_Bishop, Mr. Dickinson H",0.0022167084284383507
"Name_Bishop, Mrs. Dickinson H (Helen Walton)",0.0
"Name_Bissette, Miss. Amelia",0.0002975306892739859
"Name_Bjornstrom-Steffansson, Mr. Mauritz Hakan",0.0
"Name_Blackwell, Mr. Stephen Weart",0.0
"Name_Brown, Miss. Amelia ""Mildred""",0.0
"Name_Brown, Mrs. James Joseph (Margaret Tobin)",0.0
"Name_Burns, Miss. Elizabeth Margaret",0.0
"Name_Butt, Major. Archibald Willingham",0.000680065279797035
"Name_Calderhead, Mr. Edward Pennington",0.0008133838477795938
"Name_Carter, Master. William Thornton II",0.0
