feature,importance
PassengerId,0.01973322387623607
Pclass,0.00290212375472895
Age,0.022641533922323938
SibSp,0.005557459591867948
Parch,0.001086867753378015
Fare,0.020624233184867835
"Name_Allen, Miss. Elisabeth Walton",5.20544085680344e-06
"Name_Allison, Master. Hudson Trevor",8.946302482588325e-05
"Name_Allison, Miss. Helen Loraine",0.0008528177017512361
"Name_Anderson, Mr. Harry",0.00021231311441937743
"Name_Andrews, Miss. Kornelia Theodosia",6.017832908373216e-05
"Name_Andrews, Mr. Thomas Jr",0.00015947998422457464
"Name_Appleton, Mrs. Edward Dale (Charlotte Lamson)",5.060420037980984e-06
"Name_Astor, Mrs. John Jacob (Madeleine Talmadge Force)",5.986170553069886e-06
"Name_Aubart, Mme. Leontine Pauline",5.011558701876125e-06
"Name_Ball, Mrs. (Ada E Hall)",3.311320697358145e-05
"Name_Barkworth, Mr. Algernon Henry Wilson",0.00011950777170267073
"Name_Baxter, Mr. Quigg Edmond",0.00029193635764202615
"Name_Baxter, Mrs. James (Helene DeLaudeniere Chaput)",2.6271359460389378e-05
"Name_Bazzani, Miss. Albina",8.788757339789419e-06
"Name_Becker, Master. Richard F",0.00016903561549080217
"Name_Becker, Miss. Marion Louise",2.1727457140626762e-05
"Name_Beckwith, Mr. Richard Leonard",0.00017203369476814437
"Name_Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",1.0397544401714164e-05
"Name_Beesley, Mr. Lawrence",0.00017694542673762957
"Name_Behr, Mr. Karl Howell",5.9921805692931254e-05
"Name_Bishop, Mr. Dickinson H",0.00010322130677826676
"Name_Bishop, Mrs. Dickinson H (Helen Walton)",9.340321858089834e-06
"Name_Bissette, Miss. Amelia",3.737576230102799e-05
"Name_Bjornstrom-Steffansson, Mr. Mauritz Hakan",9.917810826619944e-05
"Name_Blackwell, Mr. Stephen Weart",0.0003419314985335615
"Name_Brown, Miss. Amelia ""Mildred""",0.0
"Name_Brown, Mrs. James Joseph (Margaret Tobin)",2.2510918065717987e-05
"Name_Burns, Miss. Elizabeth Margaret",3.877974095896463e-06
"Name_Butt, Major. Archibald Willingham",0.000381045929516739
"Name_Calderhead, Mr. Edward Pennington",2.7851365831769722e-05
"Name_Carter, Master. William Thornton II",2.4315005331819635e-05
"Name_Carter, Mr. William Ernest",0.00010752537780965884
"Name_Carter, Mrs. William Ernest (Lucile Polk)",1.0841137571814455e-05
"Name_Chaffee, Mr. Herbert Fuller",0.000254944915105093
"Name_Chambers, Mr. Norman Campbell",5.856933477442151e-05
"Name_Cherry, Miss. Gladys",1.8007715383685005e-05
"Name_Colley, Mr. Edward Pomeroy",0.00023434606208262062
"Name_Compton, Miss. Sara Rebecca",4.485149069697504e-06
"Name_Crosby, Capt. Edward Gifford",0.0004834540824633901
"Name_Crosby, Miss. Harriet R",9.072712461575336e-06
"Name_Cumings, Mrs. John Bradley (Florence Briggs Thayer)",2.915650427466885e-05
"Name_Daly, Mr. Peter Denis ",0.00012773822504899137
"Name_Davidson, Mr. Thornton",0.00037329319353728724
"Name_Dodge, Master. Washington",9.39812177356817e-05
"Name_Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",0.00018450455977144919
"Name_Endres, Miss. Caroline Louise",1.8917411836888966e-06
"Name_Foreman, Mr. Benjamin Laventall",0.00037260895947973185
"Name_Fortune, Miss. Alice Elizabeth",4.104009821992214e-06
"Name_Fortune, Miss. Mabel Helen",5.548243136036494e-05
"Name_Fortune, Mr. Charles Alexander",0.0004172850429297772
"Name_Fortune, Mr. Mark",0.00030953907576333783
