feature,importance
PassengerId,0.02133126623422136
Pclass,0.002764064266814491
Age,0.021074737234041695
SibSp,0.006225766187804992
Parch,0.0012971698468420257
Fare,0.02526226827500842
"Name_Allen, Miss. Elisabeth Walton",1.9129625914392753e-05
"Name_Allison, Master. Hudson Trevor",9.649562361157169e-05
"Name_Allison, Miss. Helen Loraine",0.0008299106461067564
"Name_Anderson, Mr. Harry",0.00023514217834683034
"Name_Andrews, Miss. Kornelia Theodosia",5.8857915350905e-05
"Name_Andrews, Mr. Thomas Jr",0.0001565848640230204
"Name_Appleton, Mrs. Edward Dale (Charlotte Lamson)",4.807752591496821e-06
"Name_Astor, Mrs. John Jacob (Madeleine Talmadge Force)",6.108968352745739e-06
"Name_Aubart, Mme. Leontine Pauline",5.83659033357672e-06
"Name_Ball, Mrs. (Ada E Hall)",2.5986526167732907e-05
"Name_Barkworth, Mr. Algernon Henry Wilson",0.00012541758990088837
"Name_Baxter, Mr. Quigg Edmond",0.0002911618513265187
"Name_Baxter, Mrs. James (Helene DeLaudeniere Chaput)",2.719322306202104e-05
"Name_Bazzani, Miss. Albina",9.517401266205187e-06
"Name_Becker, Master. Richard F",0.00017546449577204593
"Name_Becker, Miss. Marion Louise",1.9311455817029973e-05
"Name_Beckwith, Mr. Richard Leonard",0.0001773088413987089
"Name_Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",1.1701192986698672e-05
"Name_Beesley, Mr. Lawrence",0.00017441095971851902
"Name_Behr, Mr. Karl Howell",5.1084010381340035e-05
"Name_Bishop, Mr. Dickinson H",0.00012494788776626784
"Name_Bishop, Mrs. Dickinson H (Helen Walton)",9.816347972115158e-06
"Name_Bissette, Miss. Amelia",3.364124469642986e-05
"Name_Bjornstrom-Steffansson, Mr. Mauritz Hakan",0.00010388599917531448
"Name_Blackwell, Mr. Stephen Weart",0.00033234632767651203
"Name_Brown, Miss. Amelia ""Mildred""",0.0
"Name_Brown, Mrs. James Joseph (Margaret Tobin)",2.2435184058217494e-05
"Name_Burns, Miss. Elizabeth Margaret",3.811359450409144e-06
"Name_Butt, Major. Archibald Willingham",0.0003772127022124609
"Name_Calderhead, Mr. Edward Pennington",2.373961424958489e-05
"Name_Carter, Master. William Thornton II",2.8842856080255163e-05
"Name_Carter, Mr. William Ernest",0.00011379259634952786
"Name_Carter, Mrs. William Ernest (Lucile Polk)",1.1393637631801164e-05
"Name_Chaffee, Mr. Herbert Fuller",0.00025393995787126105
"Name_Chambers, Mr. Norman Campbell",5.7995290850609916e-05
"Name_Cherry, Miss. Gladys",1.87062396137893e-05
"Name_Colley, Mr. Edward Pomeroy",0.0002361903857102748
"Name_Compton, Miss. Sara Rebecca",4.836286621960589e-06
"Name_Crosby, Capt. Edward Gifford",0.0004929150452813201
"Name_Crosby, Miss. Harriet R",9.893871615509804e-06
"Name_Cumings, Mrs. John Bradley (Florence Briggs Thayer)",2.937095939707049e-05
"Name_Daly, Mr. Peter Denis ",0.0001265449687068416
"Name_Davidson, Mr. Thornton",0.00037753122736337364
"Name_Dodge, Master. Washington",0.00010443218676681872
"Name_Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",0.0002145861465020609
"Name_Endres, Miss. Caroline Louise",2.1461403527458086e-06
"Name_Foreman, Mr. Benjamin Laventall",0.000357310006051588
"Name_Fortune, Miss. Alice Elizabeth",3.539701879865601e-06
"Name_Fortune, Miss. Mabel Helen",7.180724355801463e-05
"Name_Fortune, Mr. Charles Alexander",0.0004268669833798111
"Name_Fortune, Mr. Mark",0.0003154293124976846
"Name_Francatelli, Miss. Laura Mabel",0.0
"Name_Frolicher, Miss. Hedwig Margaritha",9.840848707583738e-06
"Name_Futrelle, Mr. Jacques Heath",0.00029057090511214623
"Name_Gee, Mr. Arthur H",0.0002647302585142151
"Name_Giglio, Mr. Victor",0.0003437260626462326
"Name_Goldenberg, Mr. Samuel L",7.827722605015351e-05
"Name_Goldschmidt, Mr. George B",0.0004152519086525198
"Name_Graham, Mr. George Edward",0.00037830615307522564
"Name_Graham, Mrs. William Thompson (Edith Junkins)",5.37580357304616e-05
"Name_Greenfield, Mr. William Bertram",0.00024000667116440201
"Name_Guggenheim, Mr. Benjamin",0.000300174148034415
"Name_Harper, Mr. Henry Sleeper",4.908916782506587e-05
"Name_Harper, Mrs. Henry Sleeper (Myna Haxtun)",5.285169182848915e-05
"Name_Harris, Mr. Henry Birkhardt",0.0002984761763592225
"Name_Harris, Mrs. Henry Birkhardt (Irene Wallach)",1.691862068335124e-05
"Name_Hassab, Mr. Hammad",1.8981163351264136e-05
"Name_Hays, Miss. Margaret Bechstein",0.0
"Name_Hays, Mrs. Charles Melville (Clara Jennings Gregg)",6.954410155730797e-06
"Name_Hippach, Miss. Jean Gertrude",6.398158213857752e-06
"Name_Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",7.86573586821234e-06
"Name_Hogeboom, Mrs. John C (Anna Andrews)",1.3663889971361803e-05
"Name_Hoyt, Mr. Frederick Maxfield",6.906020223735544e-05
"Name_Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",0.0
"Name_Isham, Miss. Ann Elizabeth",0.0005615292828352502
"Name_Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",1.8435336726973184e-05
"Name_Kent, Mr. Edward Austin",0.00028944955525341524
"Name_Kimball, Mr. Edwin Nelson Jr",0.00015911209277649118
"Name_Leader, Dr. Alice (Farnham)",2.614064425757452e-05
"Name_Lemore, Mrs. (Amelia Milley)",4.0886924768462377e-05
"Name_Lesurer, Mr. Gustave J",5.435353231298038e-05
"Name_Levy, Mr. Rene Jacques",0.00043973575511131247
"Name_Lines, Miss. Mary Conover",1.9352187611443767e-06
"Name_Long, Mr. Milton Clyde",0.00035228138973502856
"Name_Longley, Miss. Gretchen Fiske",2.266838152211552e-05
"Name_Lurette, Miss. Elise",4.542007288229646e-06
"Name_Mack, Mrs. (Mary)",0.0003814878460843648
"Name_Madill, Miss. Georgette Alexandra",1.7948135637152566e-05
"Name_Marvin, Mr. Daniel Warner",0.00042109271611786366
"Name_Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",2.741101950647635e-06
"Name_McCarthy, Mr. Timothy J",0.0002726562737709494
"Name_McGough, Mr. James Robert",0.00012984860884941298
"Name_Millet, Mr. Francis Davis",0.00025419944227504985
"Name_Minahan, Miss. Daisy E",3.167237097323979e-06
"Name_Moen, Mr. Sigurd Hansen",0.0001989741205382047
"Name_Molson, Mr. Harry Markland",0.0003073224413470603
"Name_Moor, Master. Meier",6.443544236315633e-05
"Name_Moor, Mrs. (Beila)",1.2385714993745107e-05
"Name_Natsch, Mr. Charles H",0.00034829976990456956
"Name_Navratil, Master. Edmond Roger",0.0001301860321225442
"Name_Navratil, Master. Michel M",2.5677297120442228e-05
"Name_Navratil, Mr. Michel (""Louis M Hoffman"")",0.0005572881301142526
"Name_Newell, Miss. Madeleine",2.1889595389078636e-05
"Name_Newell, Miss. Marjorie",1.4689649050842771e-05
"Name_Newell, Mr. Arthur Webster",0.00032020739985759856
"Name_Newsom, Miss. Helen Monypeny",7.116688960280584e-05
"Name_Ostby, Mr. Engelhart Cornelius",0.0003126217094710037
"Name_Partner, Mr. Austen",0.0003021113531099009
"Name_Pears, Mrs. Thomas (Edith Wearne)",2.157051200412474e-06
"Name_Penasco y Castellana, Mr. Victor de Satode",0.0006070872649688433
"Name_Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",1.3058354922186382e-05
"Name_Perreault, Miss. Anne",4.197521618493568e-05
"Name_Peuchen, Major. Arthur Godfrey",8.084607699532033e-05
"Name_Pickard, Mr. Berk (Berk Trembisky)",0.00018527437302927276
"Name_Porter, Mr. Walter Chamberlain",0.0002810069729310512
"Name_Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",5.261920459516003e-05
"Name_Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",1.4929367123184201e-05
"Name_Roebling, Mr. Washington Augustus II",0.00045205513647060184
"Name_Ross, Mr. John Hugo",0.0003666320509363323
"Name_Sagesser, Mlle. Emma",9.707566365755878e-06
"Name_Sandstrom, Miss. Marguerite Rut",3.585395514773001e-05
"Name_Silverthorne, Mr. Spencer Victor",0.00016462931634467508
"Name_Silvey, Mr. William Baird",0.0003539962488175998
"Name_Silvey, Mrs. William Baird (Alice Munger)",5.075567148157607e-06
"Name_Simonius-Blumer, Col. Oberst Alfons",0.00014427457657929463
"Name_Smith, Mr. James Clinch",0.0003196390982829338
"Name_Soholt, Mr. Peter Andreas Lauritz Andersen",0.0002342343745283758
"Name_Stahelin-Maeglin, Dr. Max",0.00015240509560664667
"Name_Stephenson, Mrs. Walter Bertram (Martha Eustis)",5.449993216421931e-06
"Name_Strom, Miss. Telma Matilda",0.0005286899603498518
"Name_Strom, Mrs. Wilhelm (Elna Matilda Persson)",0.0005425696039675692
"Name_Sutton, Mr. Frederick",0.00025296376206688365
"Name_Swift, Mrs. Frederick Joel (Margaret Welles Barron)",6.127255823331727e-05
"Name_Taussig, Miss. Ruth",8.246476478629634e-06
"Name_Taussig, Mr. Emil",0.00023512453448910333
"Name_Taussig, Mrs. Emil (Tillie Mandelbaum)",1.4113256313350976e-05
"Name_Taylor, Mr. Elmer Zebley",0.00018259971695037215
"Name_Thayer, Mr. John Borland",0.0004307135568638309
"Name_Thayer, Mr. John Borland Jr",0.00012001380654110238
"Name_Thayer, Mrs. John Borland (Marian Longstreth Morris)",4.7128123417016454e-06
"Name_Troutt, Miss. Edwina Celia ""Winnie""",9.410331222667247e-06
"Name_Walker, Mr. William Anderson",0.0001716676973483759
"Name_Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",9.696028391527354e-05
"Name_Webber, Miss. Susan",3.8776210486068885e-05
"Name_Widener, Mr. Harry Elkins",0.00031465943377900334
"Name_Young, Miss. Marie Grice",4.133345904593397e-05
Sex_female,0.06640944624087548
Sex_male,0.060598853394042584
Ticket_110152,0.00043650527326874347
Ticket_110413,0.0001864076155856006
Ticket_110465,0.00025515935077343
Ticket_110564,0.0001576311691645716
Ticket_110813,4.2166988199316595e-05
Ticket_111320,0.00024230824029114017
Ticket_111361,4.744611131053032e-05
Ticket_111369,8.012914487517107e-05
Ticket_112050,0.00045250867004485604
Ticket_113043,0.0002715200071973319
Ticket_113050,0.0002758831871588347
Ticket_113051,0.000309920034290968
Ticket_113055,0.000210803161073836
Ticket_113501,0.0002854133334708942
Ticket_113503,0.00038616124202721705
Ticket_113509,0.0002171477010619322
Ticket_113760,0.0005048848751545047
Ticket_113773,0.00039412736620096785
Ticket_113776,0.0005229480707325762
Ticket_113781,0.0016953538437895683
Ticket_113784,0.0003359063685459541
Ticket_113786,9.606572316023513e-05
Ticket_113787,0.0003987640890931813
Ticket_113803,8.971909332836843e-05
Ticket_113806,0.00010682480885920411
Ticket_11751,0.00015172485946812246
